consumo_kwh,uso_horario_pico,cantidad_equipos,tipo_vivienda,horas_alto_consumo,categoria
1173.04,True,20,Casa,19,2
709.49,True,8,Casa,18,2
378.84,False,12,Departamento,15,1
452.0,True,13,Departamento,20,1
403.06,True,8,Casa,17,2
544.62,True,14,Casa,20,2
226.5,True,12,Casa,20,0
753.08,True,8,Departamento,15,2
418.42,False,11,Departamento,14,1
387.48,True,10,Departamento,19,2
879.3,True,11,Departamento,19,2
906.33,True,10,Departamento,19,2
769.22,True,16,Casa,15,2
423.48,False,10,Casa,18,2
528.5,True,11,Casa,17,2
758.76,True,10,Departamento,22,2
1409.79,True,26,Casa,19,2
1250.7,False,17,Casa,7,2
589.09,True,19,Casa,23,2
935.7,True,11,Casa,19,2
210.6,False,8,Casa,16,1
519.44,True,14,Departamento,15,2
243.49,False,13,Departamento,9,0
472.35,True,13,Casa,22,2
269.79,False,9,Departamento,11,1
186.64,True,10,Departamento,20,0
193.44,True,12,Departamento,19,0
347.07,False,16,Casa,12,0
207.8,False,14,Casa,16,0
404.31,True,16,Departamento,16,0
278.6,False,12,Casa,19,0
372.33,False,16,Casa,13,0
963.73,True,22,Casa,23,2
437.86,False,8,Departamento,13,2
672.33,False,20,Departamento,13,1
436.48,True,15,Casa,21,1
977.14,True,13,Departamento,23,2
905.88,True,15,Departamento,17,2
1138.77,False,26,Casa,7,1
268.41,True,9,Casa,21,1
132.07,False,6,Departamento,10,0
558.4,True,9,Departamento,20,2
612.47,True,14,Casa,17,2
395.09,True,9,Departamento,19,2
445.62,False,18,Departamento,13,0
845.2,False,12,Casa,2,2
655.62,False,23,Casa,20,1
218.14,True,11,Departamento,19,1
532.88,True,17,Departamento,17,1
902.99,False,23,Casa,5,1
607.24,False,20,Casa,11,1
204.87,True,9,Casa,20,0
470.07,True,11,Departamento,19,2
854.18,True,12,Departamento,14,2
205.6,True,7,Departamento,20,1
279.2,True,15,Departamento,17,0
407.68,False,11,Casa,18,1
489.96,False,12,Departamento,17,1
457.4,True,14,Departamento,17,1
313.55,True,10,Casa,18,1
371.11,True,12,Departamento,16,1
203.34,True,15,Casa,20,0
369.03,False,9,Departamento,15,2
154.2,True,7,Departamento,17,1
484.71,False,12,Casa,12,1
264.62,True,9,Casa,18,1
376.82,True,19,Departamento,17,0
160.95,True,8,Pequeño Comercio,18,0
315.16,False,13,Casa,13,0
686.1,False,20,Casa,13,1
189.88,True,13,Departamento,17,0
542.77,True,14,Casa,19,2
175.52,False,15,Departamento,15,0
565.69,False,14,Departamento,11,1
498.31,True,15,Casa,19,1
388.66,False,15,Casa,15,1
429.6,False,16,Casa,21,1
334.51,True,14,Casa,14,0
612.55,True,20,Casa,19,1
260.32,False,8,Casa,14,1
436.16,False,18,Casa,18,0
1168.09,False,22,Casa,16,2
1248.07,True,15,Departamento,22,2
378.11,True,10,Casa,19,1
480.42,True,13,Casa,22,2
236.54,False,9,Pequeño Comercio,16,1
387.38,False,10,Casa,9,1
209.82,False,6,Departamento,15,1
161.83,True,9,Casa,20,0
773.1,True,14,Casa,20,2
648.55,True,8,Departamento,20,2
288.41,True,11,Casa,19,1
527.36,True,14,Departamento,18,1
575.94,False,14,Casa,17,1
424.64,False,15,Casa,8,0
967.05,False,12,Casa,13,2
393.97,True,16,Departamento,20,1
459.04,False,24,Pequeño Comercio,15,0
735.51,False,18,Casa,12,1
274.51,True,12,Departamento,20,1
412.85,True,14,Casa,21,1
1108.11,True,17,Departamento,18,2
699.81,False,20,Casa,13,1
934.44,True,14,Casa,21,2
546.09,True,11,Casa,19,2
258.75,True,13,Casa,19,0
620.07,False,8,Departamento,15,2
360.42,True,8,Departamento,19,2
423.24,False,13,Casa,8,0
150.13,True,12,Casa,19,0
529.64,True,16,Departamento,16,1
713.26,True,22,Departamento,22,1
337.33,False,12,Pequeño Comercio,18,1
627.27,False,11,Casa,21,2
193.8,True,11,Casa,19,0
500.88,False,17,Casa,14,1
313.52,False,12,Pequeño Comercio,5,0
961.22,True,18,Casa,20,2
155.17,False,7,Casa,19,0
1060.95,True,14,Casa,18,2
219.59,True,9,Casa,20,1
790.87,True,17,Casa,19,2
230.91,True,10,Casa,16,0
512.54,True,18,Casa,16,1
131.13,True,9,Departamento,21,0
333.54,False,8,Casa,11,1
645.44,False,13,Casa,12,2
559.91,False,26,Casa,5,0
732.72,True,16,Casa,21,2
178.31,True,9,Departamento,20,0
163.52,True,17,Departamento,21,0
1560.82,True,19,Casa,22,2
724.71,False,12,Casa,9,2
222.88,True,14,Departamento,22,0
864.78,True,19,Casa,17,2
489.14,False,14,Departamento,11,1
200.15,False,19,Casa,17,0
630.55,False,22,Casa,11,1
589.43,False,9,Casa,7,2
399.1,False,9,Casa,23,2
297.65,True,7,Departamento,20,2
852.76,True,14,Casa,19,2
833.65,True,19,Departamento,16,2
400.35,True,13,Departamento,14,1
320.26,True,11,Casa,18,1
527.05,True,15,Casa,15,1
547.42,True,13,Casa,18,2
183.49,True,8,Pequeño Comercio,18,0
525.97,True,13,Casa,21,2
266.99,True,8,Casa,18,1
205.36,False,14,Departamento,12,0
196.54,False,10,Departamento,8,0
341.83,True,17,Pequeño Comercio,22,0
913.89,True,14,Departamento,20,2
902.49,False,13,Casa,17,2
268.39,False,13,Departamento,13,0
1734.2162797616852,False,11,Departamento,16,0
918.99,False,22,Casa,5,1
124.37,False,10,Departamento,10,0
264.8,False,9,Casa,18,1
332.58,True,9,Casa,20,1
777.64,False,21,Pequeño Comercio,15,1
282.29,False,7,Casa,14,1
481.39,False,14,Casa,12,1
332.83,False,9,Casa,11,1
228.4,False,5,Casa,9,1
427.19,False,11,Casa,9,1
430.03,True,18,Pequeño Comercio,18,0
403.79,False,10,Departamento,12,1
404.28,False,19,Casa,19,0
358.73,True,12,Casa,21,1
1427.72,True,14,Casa,21,2
319.74,False,29,Casa,12,0
327.29,False,15,Casa,9,0
934.87,True,26,Casa,17,1
347.68,True,11,Casa,16,1
157.45,False,8,Casa,9,0
409.46,True,9,Casa,19,2
569.65,False,8,Casa,13,2
149.69,True,9,Casa,17,0
378.26,False,13,Casa,13,0
1105.45,False,15,Casa,21,2
315.19,True,22,Casa,21,0
239.79,True,10,Departamento,19,1
135.37,False,9,Casa,17,0
470.71,True,9,Casa,20,2
347.66,False,19,Casa,20,0
978.11,True,22,Casa,17,2
693.62,False,13,Casa,15,2
717.69,True,25,Casa,19,1
408.18,False,11,Casa,14,1
230.94,False,9,Pequeño Comercio,14,0
319.89,True,8,Departamento,20,2
315.02,True,14,Departamento,16,0
238.08,False,12,Casa,17,0
809.13,False,18,Casa,9,1
581.63,False,18,Casa,9,1
642.76,False,21,Departamento,14,1
240.33,True,8,Departamento,22,1
620.66,True,9,Departamento,16,2
131.99,False,8,Casa,17,0
292.07,False,12,Departamento,12,0
396.74,True,10,Casa,18,2
376.7,False,13,Departamento,12,1
898.76,True,18,Casa,17,2
691.12,False,13,Departamento,16,2
1070.11,True,15,Casa,20,2
1219.48,True,18,Casa,19,2
564.25,False,19,Casa,18,1
241.34,False,12,Departamento,23,0
627.24,True,21,Departamento,20,1
495.65,False,13,Casa,9,1
377.41,True,12,Casa,21,1
76.93,True,3,Pequeño Comercio,20,1
246.0,False,10,Departamento,14,0
884.8,True,20,Casa,18,2
748.96,True,14,Departamento,17,2
395.11,False,11,Casa,4,1
1098.17,True,21,Departamento,18,2
301.7,False,15,Departamento,2,0
119.35,False,9,Departamento,13,0
337.63,True,20,Casa,17,0
387.59,False,9,Casa,13,2
237.02,True,13,Casa,19,0
283.96,False,11,Casa,19,0
827.17,True,28,Casa,17,1
277.59,True,13,Departamento,20,0
490.58,True,24,Casa,18,0
211.32,False,9,Casa,20,0
279.94,True,12,Casa,20,1
626.69,False,13,Departamento,20,2
445.14,False,9,Departamento,13,2
446.82,False,24,Casa,10,0
204.32,False,12,Casa,10,0
296.07,True,9,Departamento,22,1
561.65,False,14,Departamento,13,1
571.35,True,12,Departamento,17,2
461.27,True,8,Departamento,20,2
482.16,True,9,Casa,21,2
279.04,True,13,Casa,19,0
337.85,True,12,Departamento,17,1
344.1,False,10,Departamento,14,1
332.66,True,17,Departamento,13,0
1000.08,False,17,Departamento,17,2
107.44,False,6,Departamento,15,0
167.54,False,10,Departamento,13,0
840.3,True,22,Departamento,20,2
622.03,False,13,Departamento,9,1
488.03,True,19,Casa,20,1
181.43,False,11,Departamento,14,0
294.55,False,8,Departamento,11,1
490.26,False,8,Pequeño Comercio,14,2
617.85,True,13,Casa,19,2
789.47,False,14,Departamento,13,2
151.18,True,7,Departamento,20,0
693.55,True,21,Pequeño Comercio,19,1
981.38,False,24,Casa,14,1
571.24,False,23,Pequeño Comercio,13,0
199.7,True,15,Departamento,21,0
454.19,False,14,Casa,14,1
191.58,True,10,Departamento,18,0
239.62,False,8,Departamento,11,1
474.1,False,9,Departamento,15,2
102.49,False,10,Departamento,10,0
978.58,False,23,Departamento,17,2
667.76,True,12,Casa,18,2
164.32,False,5,Departamento,9,1
465.3,False,24,Casa,15,0
846.36,True,29,Casa,20,1
819.45,True,9,Casa,19,2
90.7,False,9,Casa,15,0
620.36,False,10,Departamento,9,2
293.58,True,7,Casa,18,2
1082.47,True,17,Casa,20,2
1208.61,True,21,Casa,22,2
520.03,False,15,Departamento,16,1
347.29,False,16,Casa,15,0
135.0,False,5,Casa,6,0
1002.11,True,20,Departamento,18,2
395.91,False,9,Departamento,15,2
578.72,True,22,Casa,19,1
379.67,False,9,Pequeño Comercio,13,2
170.58,False,18,Casa,16,0
101.95,False,11,Departamento,9,0
558.65,True,13,Casa,22,2
167.53,False,8,Pequeño Comercio,14,0
343.4,False,12,Departamento,19,1
232.24,False,11,Departamento,5,0
345.73,False,16,Departamento,8,0
265.66,False,7,Departamento,7,1
494.11,True,12,Casa,20,2
285.43,False,11,Casa,5,0
206.19,True,6,Departamento,18,1
593.7,True,11,Departamento,20,2
92.03,True,10,Departamento,18,0
763.85,False,17,Casa,19,2
795.67,True,16,Casa,16,2
256.51,False,12,Departamento,21,0
285.28,True,10,Departamento,18,1
346.64,False,13,Departamento,13,1
80.9,True,9,Departamento,16,0
289.4,True,9,Casa,19,1
605.47,False,12,Departamento,22,2
259.1,False,14,Casa,15,0
329.68,False,8,Casa,9,1
743.71,True,15,Pequeño Comercio,23,2
280.07,False,10,Departamento,14,1
382.09,True,21,Casa,16,0
377.43,False,13,Departamento,14,1
414.61,False,10,Departamento,18,2
573.85,True,10,Departamento,18,2
493.45,False,10,Casa,15,2
423.17,False,16,Casa,18,1
124.44,True,12,Departamento,21,0
520.85,False,9,Casa,14,2
687.83,True,16,Casa,19,2
308.86,False,15,Casa,4,0
519.42,True,13,Departamento,21,2
195.05,True,7,Departamento,20,1
500.3,False,15,Casa,22,1
701.99,True,20,Casa,21,1
159.47,False,5,Departamento,17,1
213.55,False,10,Departamento,15,0
399.2,True,11,Casa,19,2
272.8,False,15,Departamento,16,0
318.64,True,12,Departamento,16,1
469.98,True,13,Departamento,18,1
304.55,False,14,Casa,11,0
428.2,False,17,Casa,14,0
548.77,True,14,Casa,20,2
514.83,False,22,Casa,18,0
240.41,True,9,Departamento,23,1
452.12,False,16,Casa,22,1
156.62,True,9,Departamento,17,0
537.75,False,14,Departamento,12,1
355.92,False,12,Casa,15,1
543.78,True,16,Casa,20,1
816.89,False,15,Casa,17,2
248.36,False,11,Departamento,17,0
296.97,False,15,Casa,20,0
307.63,False,19,Casa,17,0
165.69,False,12,Departamento,13,0
447.89,True,12,Departamento,16,1
236.54,False,10,Departamento,13,0
347.29,True,8,Casa,20,2
155.63,False,10,Casa,12,0
607.83,False,13,Departamento,14,2
238.51,False,12,Departamento,13,0
322.94,True,20,Casa,20,0
218.35,False,20,Departamento,15,0
452.62,False,10,Casa,13,2
367.14,True,8,Casa,17,2
292.6,False,12,Casa,8,0
561.46,True,13,Departamento,13,2
335.06,True,8,Casa,15,2
1010.23,True,22,Casa,20,2
829.59,False,11,Casa,17,2
285.54,True,9,Casa,19,1
450.09,True,16,Casa,15,1
337.87,True,13,Casa,16,0
185.33,True,10,Departamento,14,0
172.38,True,5,Departamento,18,1
247.98,True,10,Departamento,19,1
290.48,True,10,Casa,18,1
799.49,True,16,Casa,17,2
706.12,False,13,Pequeño Comercio,14,2
738.65,True,24,Casa,18,1
310.74,True,9,Departamento,17,1
1068.95,False,14,Casa,23,2
194.69,False,8,Departamento,13,0
168.86,False,8,Departamento,14,0
637.8,False,15,Departamento,12,1
515.51,False,12,Casa,16,2
403.95,True,16,Casa,17,0
374.38,False,14,Departamento,17,1
613.6,False,11,Casa,14,2
493.77,True,12,Casa,20,2
175.45,True,10,Departamento,20,0
530.64,True,17,Casa,20,1
424.91,True,8,Casa,16,2
312.55,False,10,Casa,17,1
585.24,True,11,Casa,20,2
352.4,True,7,Casa,23,2
797.66,False,11,Departamento,9,2
429.1,True,9,Casa,23,2
330.72,False,14,Departamento,17,0
269.98,True,16,Casa,17,0
1054.94,True,17,Casa,16,2
644.1,True,11,Departamento,18,2
288.15,True,7,Departamento,20,2
285.93,True,10,Departamento,17,1
977.49,False,19,Casa,10,2
373.2,True,10,Departamento,19,1
108.57,True,6,Departamento,18,0
221.54,True,11,Departamento,19,0
359.88,True,14,Casa,18,0
478.9,False,22,Casa,17,0
201.53,False,8,Departamento,11,0
663.42,True,22,Departamento,19,1
111.4,True,9,Casa,20,0
235.06,False,6,Casa,13,1
538.78,True,14,Casa,19,2
349.71,True,12,Departamento,23,1
207.97,False,14,Departamento,10,0
92.07,False,4,Departamento,10,0
321.6,True,26,Casa,17,0
218.37,False,8,Departamento,15,0
194.24,True,7,Casa,16,1
362.98,True,6,Departamento,16,2
215.65,False,6,Departamento,12,1
317.62,False,16,Casa,15,0
864.56,False,10,Casa,15,2
437.03,False,14,Casa,14,1
485.37,False,12,Departamento,17,2
604.02,False,11,Departamento,11,2
263.65,True,9,Departamento,18,1
127.5,False,7,Departamento,13,0
178.16,False,8,Departamento,11,0
344.09,True,6,Departamento,21,2
624.34,False,16,Casa,9,1
663.18,True,24,Casa,19,1
191.83,False,11,Casa,14,0
431.46,True,13,Departamento,20,1
725.23,True,15,Departamento,23,2
208.56,True,11,Casa,22,0
341.95,True,19,Departamento,18,0
256.7,False,8,Casa,12,1
706.36,True,17,Departamento,20,2
164.99,True,8,Departamento,20,0
258.36,True,12,Departamento,20,1
120.0,True,10,Departamento,19,0
1311.64,False,20,Casa,9,2
522.87,True,9,Casa,17,2
712.84,False,14,Casa,13,2
274.75,True,12,Departamento,21,0
649.06,True,13,Casa,18,2
396.96,False,21,Departamento,14,0
794.2,True,18,Casa,21,2
494.46,True,14,Casa,18,1
1516.28,True,10,Casa,15,2
418.89,False,15,Casa,12,1
333.91,True,8,Casa,20,2
367.91,True,9,Departamento,19,2
423.96,False,15,Departamento,6,0
327.87,False,20,Casa,8,0
221.11,False,9,Pequeño Comercio,17,0
417.97,True,16,Departamento,18,1
781.56,False,13,Casa,16,2
570.38,False,20,Casa,12,0
319.67,True,14,Casa,15,0
679.5,True,14,Casa,20,2
590.58,True,11,Departamento,17,2
279.36,True,8,Departamento,17,1
183.26,False,9,Departamento,14,0
1159.06,True,11,Casa,16,2
628.77,False,10,Casa,16,2
203.08,False,12,Casa,15,0
206.26,False,16,Casa,5,0
333.25,True,11,Casa,18,1
492.77,False,23,Casa,14,0
630.06,True,20,Casa,18,1
162.89,False,14,Casa,12,0
241.88,False,6,Casa,16,2
173.98,True,11,Casa,19,0
453.35,True,13,Casa,21,1
413.02,True,12,Departamento,19,1
405.61,False,13,Departamento,8,0
691.13,True,22,Casa,18,1
301.9,False,15,Departamento,11,0
134.9,False,9,Casa,15,0
251.83,True,11,Casa,14,0
456.6,False,11,Casa,17,2
357.16,True,10,Casa,21,1
129.1,True,8,Departamento,20,0
1701.4,True,20,Casa,23,2
181.7,False,12,Departamento,9,0
545.99,False,17,Casa,13,1
296.32,True,16,Casa,19,0
432.73,False,10,Departamento,13,1
582.93,True,12,Casa,17,2
163.92,False,6,Casa,15,1
628.96,False,12,Pequeño Comercio,15,2
469.22,True,18,Departamento,18,1
258.82,True,14,Casa,18,0
455.03,False,23,Departamento,18,0
686.41,True,14,Departamento,20,2
526.74,False,19,Casa,13,1
231.63,False,8,Casa,11,1
766.79,True,15,Departamento,17,2
621.43,True,18,Casa,20,1
154.24,False,8,Pequeño Comercio,9,0
475.07,True,10,Departamento,20,2
268.41,True,8,Departamento,17,1
501.8,False,23,Casa,11,0
566.85,False,17,Casa,9,1
595.52,True,22,Casa,16,1
523.04,False,15,Departamento,13,1
1738.92,True,23,Casa,18,2
244.02,False,12,Departamento,13,0
457.63,False,15,Casa,19,1
494.66,False,15,Departamento,13,1
547.51,True,12,Casa,17,2
411.35,False,13,Casa,18,1
264.38,True,8,Casa,20,1
284.98,False,15,Departamento,16,0
471.18,False,11,Casa,9,1
272.57,True,10,Departamento,19,1
1193.23,True,13,Casa,19,2
552.39,True,18,Departamento,17,1
347.19,False,10,Departamento,9,1
303.64,False,7,Departamento,13,1
190.99,False,12,Departamento,13,0
385.83,False,8,Departamento,14,2
491.0,False,16,Casa,11,1
376.76,False,13,Departamento,10,0
268.75,False,12,Casa,12,0
707.59,False,14,Casa,18,2
320.29,False,8,Departamento,18,2
183.73,False,8,Casa,16,0
162.18,False,13,Pequeño Comercio,15,0
579.24,True,9,Departamento,21,2
285.54,False,10,Casa,10,1
456.43,True,14,Casa,18,1
858.63,False,13,Casa,15,2
412.29,False,12,Casa,13,1
575.65,False,10,Departamento,10,2
304.81,False,12,Casa,10,0
195.48,True,12,Casa,21,0
546.16,True,16,Departamento,19,1
421.69,False,14,Departamento,10,1
1019.34,True,16,Departamento,16,2
503.96,True,10,Departamento,20,2
294.99,False,12,Casa,23,1
950.09,True,13,Casa,22,2
431.12,True,12,Departamento,18,2
669.58,True,13,Casa,20,2
409.03,True,11,Casa,22,2
508.4,True,24,Departamento,18,0
312.04,True,10,Casa,18,1
788.2,True,29,Departamento,17,1
1247.8,True,15,Departamento,21,2
481.7,False,15,Casa,18,1
459.21,False,10,Casa,12,2
551.98,True,18,Casa,21,1
190.1,True,10,Departamento,17,0
938.92,False,19,Casa,9,2
1112.36,False,30,Casa,10,1
409.19,True,7,Casa,17,2
346.36,True,12,Casa,20,1
508.72,True,15,Departamento,20,1
560.5,True,10,Pequeño Comercio,16,2
371.11,False,21,Casa,15,0
794.48,False,10,Departamento,23,2
292.5,False,12,Casa,7,0
339.43,True,12,Departamento,19,1
364.81,True,13,Casa,18,1
492.16,False,20,Casa,11,0
172.29,False,6,Departamento,8,0
656.65,True,8,Casa,18,2
284.29,False,18,Casa,11,0
286.01,True,10,Departamento,20,1
922.97,False,24,Pequeño Comercio,20,2
294.63,False,15,Departamento,17,0
582.39,True,14,Casa,19,2
254.11,False,9,Departamento,10,0
345.2,False,15,Departamento,21,0
204.65,False,9,Casa,12,0
370.8,True,10,Departamento,21,2
640.2,False,13,Departamento,18,2
570.41,False,11,Casa,14,2
608.45,False,20,Pequeño Comercio,16,1
710.65,True,23,Casa,22,1
1031.06,True,20,Casa,17,2
243.98,False,15,Departamento,20,0
983.49,True,19,Casa,20,2
178.29,False,8,Pequeño Comercio,23,1
1132.92,True,27,Departamento,20,2
474.72,True,14,Casa,19,1
938.58,True,18,Casa,22,2
948.5,False,17,Departamento,11,2
574.95,True,11,Casa,16,2
316.32,False,13,Casa,8,0
213.96,True,7,Departamento,17,1
298.22,True,13,Casa,23,1
197.21,False,7,Departamento,19,1
436.23,False,20,Departamento,14,0
176.79,True,13,Departamento,19,0
1271.3,True,18,Casa,19,2
229.41,False,9,Departamento,6,0
568.7,True,22,Casa,18,0
502.93,True,17,Departamento,15,1
323.94,False,11,Casa,14,1
298.08,False,13,Casa,14,0
482.86,False,26,Pequeño Comercio,19,0
310.56,False,15,Departamento,21,0
522.03,True,9,Departamento,18,2
172.02,True,6,Departamento,18,1
242.6,False,12,Pequeño Comercio,10,0
136.98,False,9,Departamento,14,0
213.27,True,6,Departamento,17,1
711.15,True,17,Casa,16,1
584.95,True,8,Casa,17,2
837.45,False,23,Casa,14,1
182.16,False,5,Casa,13,1
781.94,True,18,Casa,20,2
450.38,False,14,Casa,15,1
1076.73,True,14,Casa,19,2
799.3,True,12,Departamento,16,2
642.03,True,20,Casa,16,1
487.76,True,7,Departamento,17,2
385.83,False,17,Departamento,15,0
203.13,False,16,Departamento,13,0
132.39,False,5,Casa,3,0
856.0,True,23,Departamento,22,2
118.95,False,7,Departamento,9,0
188.44,True,12,Casa,23,0
276.47,True,11,Departamento,22,1
892.63,True,13,Casa,19,2
1192.32,True,14,Casa,18,2
354.47,False,9,Casa,10,1
426.54,True,17,Casa,21,1
346.09,True,7,Departamento,17,2
764.9,True,16,Casa,17,2
534.4,True,19,Pequeño Comercio,19,1
164.93,True,6,Departamento,20,1
198.6,True,8,Casa,22,1
143.45,False,12,Departamento,12,0
495.06,False,16,Departamento,12,1
252.72,False,14,Departamento,17,0
190.05,False,11,Casa,18,0
401.76,True,9,Departamento,17,2
1239.19,True,30,Casa,21,2
565.77,False,14,Casa,10,1
194.35,True,15,Casa,19,0
707.71,False,20,Casa,17,1
149.1,False,9,Departamento,10,0
807.99,False,15,Casa,6,2
262.0,False,11,Departamento,12,0
729.15,True,26,Pequeño Comercio,17,1
357.42,True,11,Departamento,20,1
290.58,False,11,Casa,18,1
303.86,True,6,Departamento,15,2
519.58,True,17,Casa,18,1
927.87,True,10,Casa,17,2
270.23,True,10,Departamento,17,1
204.27,False,14,Casa,8,0
313.15,True,12,Casa,22,1
177.4,True,8,Casa,21,0
