id,tipo_vivienda,metros_cuadrados,habitaciones,baños,antiguedad_vivienda,aislamiento,eficiencia_construccion,paneles_solares,cantidad_personas,trabajo_remoto,horas_en_casa,ingreso_mensual,aires_acondicionados,heladeras,televisores,computadoras,lavadoras,secadoras,cantidad_equipos,calefaccion,electrodomesticos_eficientes,factor_estacional,temperatura_media,consumo_kwh,uso_horario_pico,horas_alto_consumo,tarifa_kwh,costo_estimado,energy_efficiency_score,categoria,aislamiento_enc,eficiencia_construccion_enc,tipo_calefaccion_Gas,tipo_calefaccion_Losa Radiante,tipo_calefaccion_Ninguna,tipo_iluminacion_LED,tipo_iluminacion_Mixta
13,Pequeño Comercio,69.4,4,2,45.0,Excellent,D,0,7,0,14.5,1161.27,1,3,8,7,0,0,19,1,54.3,Primavera,12.0,420.55,1,20,0.75,315.4125,64.5,Efficient,3,1,True,False,False,True,False
14,Casa,69.0,1,1,35.0,Excellent,D,1,4,0,8.9,1330.21,1,1,1,1,1,0,5,1,60.0,Primavera,16.2,103.39,1,20,0.75,77.5425,72.4,Efficient,3,1,True,False,False,True,False
15,Casa,123.0,2,1,28.0,Good,B,0,3,0,15.7,3400.11,2,1,1,3,1,1,9,1,44.8,Otoño,16.8,546.1,1,19,0.75,409.5750000000001,57.3,Efficient,2,3,False,False,False,False,True
16,Departamento,60.2,1,1,8.0,Good,B,0,1,0,11.9,520.7,2,1,0,0,1,0,4,1,65.1,Verano,35.0,411.94,1,16,0.75,308.955,28.3,Moderate,2,3,False,False,False,False,True
17,Departamento,101.9,3,1,43.0,Poor,E,0,2,0,11.7,1400.4,0,1,3,1,1,0,6,0,70.2,Verano,29.5,212.74,1,21,0.75,159.555,29.0,Moderate,0,0,False,False,True,True,False
18,Departamento,57.9,3,5,45.0,Average,E,0,3,0,13.5,2462.48,4,1,1,1,1,0,8,1,38.5,Otoño,13.7,292.4,1,21,0.75,219.3,33.5,Moderate,1,0,True,False,False,True,False
19,Departamento,52.6,1,3,38.0,Good,C,0,2,0,14.8,287.37,1,1,2,0,1,0,5,0,62.2,Verano,28.3,532.73,1,16,0.75,399.5475,44.3,Moderate,2,2,False,False,True,False,True
20,Departamento,56.9,1,2,47.0,Excellent,A,0,1,0,8.5,1462.06,1,1,0,2,1,0,5,1,56.7,Otoño,20.4,201.37,1,18,0.75,151.0275,63.7,Efficient,3,4,True,False,False,False,True
21,Departamento,45.6,2,3,54.0,Average,E,0,1,1,16.1,964.52,1,2,2,4,1,0,10,1,66.6,Otoño,21.3,469.55,1,22,0.75,352.1625,0.0,Inefficient,1,0,True,False,False,False,True
22,Departamento,61.5,2,3,30.0,Poor,E,0,1,1,22.4,1245.1,1,2,0,2,1,0,6,1,58.4,Otoño,14.8,412.89,1,21,0.75,309.6675,0.0,Inefficient,0,0,False,False,False,False,True
23,Casa,199.6,4,4,16.0,Good,C,0,3,1,20.1,3118.31,1,1,0,5,1,0,8,1,63.3,Otoño,18.4,1033.89,1,17,0.75,775.4175,21.4,Inefficient,2,2,False,False,False,False,False
24,Departamento,69.7,4,4,30.0,Poor,D,0,1,1,21.2,1317.57,0,1,1,2,1,0,5,1,71.7,Primavera,20.1,260.01,1,19,0.75,195.0075,20.2,Inefficient,0,1,False,False,False,False,True
25,Departamento,59.2,1,1,27.0,Good,C,0,3,0,8.6,2062.98,2,2,3,2,1,1,11,0,78.4,Verano,24.1,366.86,1,19,0.75,275.145,67.1,Efficient,2,2,False,False,True,True,False
26,Casa,140.5,2,2,41.0,Average,A,0,4,0,12.6,2158.5,2,2,2,2,1,0,9,1,77.4,Primavera,18.8,317.82,1,16,0.75,238.365,62.8,Efficient,1,4,True,False,False,True,False
27,Departamento,107.6,2,1,35.0,Excellent,E,0,2,0,16.0,652.42,0,1,1,1,1,0,4,1,56.6,Otoño,15.0,375.07,1,18,0.75,281.3025,43.5,Moderate,3,0,True,False,False,False,True
28,Casa,119.2,1,1,24.0,Excellent,A,0,1,1,13.9,696.77,1,1,0,1,1,0,4,1,72.8,Primavera,16.6,436.03,1,20,0.75,327.0225,53.8,Efficient,3,4,False,False,False,False,True
29,Casa,381.4,7,3,24.0,Poor,C,0,5,0,8.3,13892.3,3,2,8,5,1,0,19,0,86.3,Primavera,16.8,680.23,1,15,0.75,510.1725,27.7,Moderate,0,2,False,False,True,False,False
30,Departamento,100.7,7,4,19.0,Excellent,B,0,7,1,16.3,1121.45,0,2,6,5,1,0,14,1,95.9,Otoño,16.8,455.0,1,18,0.75,341.25,86.3,Efficient,3,3,False,False,False,True,False
31,Casa,89.7,1,1,48.0,Average,B,0,2,0,15.8,2823.35,2,1,2,0,1,1,7,1,65.0,Invierno,6.5,441.13,1,19,0.75,330.8475,29.3,Moderate,1,3,True,False,False,False,True
32,Pequeño Comercio,62.1,1,1,19.0,Good,B,0,5,0,13.9,583.91,1,3,4,4,0,0,12,1,72.6,Otoño,13.5,339.26,1,17,0.75,254.445,74.9,Efficient,2,3,False,False,False,True,False
33,Casa,136.8,2,2,10.0,Excellent,C,1,2,0,11.4,1932.91,1,1,2,0,1,0,5,1,62.9,Verano,28.1,2109.3999889798924,1,20,0.75,1582.049991734919,83.7,Efficient,3,2,False,False,False,True,False
34,Departamento,97.8,4,5,35.0,Excellent,E,0,2,0,15.4,633.15,0,1,5,4,1,0,11,1,85.4,Invierno,7.1,310.4,1,18,0.75,232.8,56.1,Efficient,3,0,True,False,False,True,False
35,Casa,145.8,4,4,16.0,Good,A,0,7,1,20.7,2733.23,3,1,9,1,1,1,16,1,65.9,Invierno,7.7,1023.36,1,16,0.75,767.52,54.0,Efficient,2,4,False,False,False,False,True
36,Casa,103.7,1,1,28.0,Poor,B,0,4,0,8.8,526.16,1,2,1,0,1,0,5,1,87.7,Verano,27.6,469.9,1,15,0.75,352.42499999999995,31.7,Moderate,0,3,False,False,False,False,True
37,Departamento,45.2,1,1,36.0,Excellent,D,0,1,0,12.7,644.79,0,1,1,2,1,1,6,1,57.9,Verano,24.9,227.56,1,19,0.75,170.67000000000002,31.9,Moderate,3,1,True,False,False,False,True
38,Departamento,97.6,3,1,66.0,Average,E,0,2,0,10.4,1445.67,0,1,2,1,1,0,5,1,41.0,Otoño,11.7,377.46,1,23,0.75,283.095,10.1,Inefficient,1,0,True,False,False,False,False
39,Departamento,71.0,4,2,24.0,Excellent,E,0,3,0,13.6,1062.39,1,1,1,4,1,0,8,0,78.6,Otoño,13.7,373.77,1,18,0.75,280.3275,48.1,Moderate,3,0,False,False,True,False,True
40,Departamento,51.1,2,1,31.0,Good,E,0,7,0,10.6,413.0,0,1,7,5,1,0,14,1,64.1,Otoño,9.7,614.28,1,18,0.75,460.71,31.7,Moderate,2,0,True,False,False,False,False
41,Departamento,86.1,5,5,75.0,Average,A,0,7,1,22.1,1592.15,0,2,9,7,1,0,19,1,57.7,Primavera,17.0,1174.77,1,20,0.75,881.0775,51.7,Moderate,1,4,True,False,False,False,True
42,Casa,118.7,5,1,27.0,Poor,C,0,3,0,18.9,1159.6,0,2,2,1,1,0,6,1,58.9,Invierno,9.3,693.2,1,23,0.75,519.9000000000001,30.1,Moderate,0,2,False,False,False,True,False
43,Pequeño Comercio,201.1,4,2,32.0,Good,B,0,5,0,12.2,2932.08,3,3,2,10,0,0,18,1,84.7,Otoño,13.4,462.83,1,20,0.75,347.1225,66.6,Efficient,2,3,True,False,False,True,False
44,Pequeño Comercio,107.7,2,1,19.0,Good,A,0,4,0,13.9,1953.02,1,2,5,9,0,0,17,1,54.2,Primavera,19.1,622.3,1,17,0.75,466.725,52.1,Moderate,2,4,False,False,False,False,True
45,Departamento,70.3,2,1,36.0,Poor,C,0,4,0,13.7,946.12,0,1,3,1,1,0,6,1,66.7,Invierno,11.3,300.72,1,17,0.75,225.54,48.7,Moderate,0,2,True,False,False,True,False
46,Casa,226.3,4,2,49.0,Poor,E,0,5,0,9.9,6946.91,1,2,4,4,1,1,13,0,49.9,Verano,27.3,691.42,1,18,0.75,518.5649999999999,8.5,Inefficient,0,0,False,False,True,False,True
47,Pequeño Comercio,117.1,1,1,22.0,Good,B,0,1,0,18.6,810.36,1,2,1,1,0,0,5,0,69.6,Otoño,12.8,396.06,1,18,0.75,297.045,42.0,Moderate,2,3,False,False,True,True,False
48,Casa,150.8,4,2,17.0,Good,D,0,4,1,23.0,1727.31,3,2,1,4,1,0,11,1,74.2,Primavera,20.2,753.14,1,20,0.75,564.855,43.1,Moderate,2,1,False,False,False,False,True
49,Casa,210.0,3,2,44.0,Excellent,E,0,4,1,23.1,9023.66,5,1,5,3,1,0,15,1,68.9,Invierno,3.7,1037.71,1,19,0.75,778.2825,37.2,Moderate,3,0,True,False,False,False,True
50,Casa,174.7,8,5,15.0,Good,C,1,7,0,12.2,946.06,2,1,8,7,1,0,19,1,70.8,Verano,30.0,268.82,1,19,0.75,201.615,77.5,Efficient,2,2,False,False,False,True,False
51,Departamento,69.8,1,1,9.0,Excellent,B,0,1,0,13.4,921.2,0,1,1,1,1,0,4,0,75.2,Invierno,3.2,192.13,1,20,0.75,144.0975,73.6,Efficient,3,3,False,False,True,True,False
52,Pequeño Comercio,126.2,5,4,50.0,Poor,C,0,7,0,14.7,3067.09,0,3,3,7,0,1,14,1,66.7,Verano,27.9,720.37,1,19,0.75,540.2775,44.7,Moderate,0,2,True,False,False,True,False
53,Pequeño Comercio,30.0,1,1,10.0,Excellent,C,0,1,0,8.4,451.35,0,2,0,1,0,0,3,1,77.8,Primavera,22.7,69.65,1,18,0.75,52.2375,65.6,Efficient,3,2,False,False,False,True,False
54,Casa,83.3,2,2,10.0,Excellent,B,0,2,0,13.9,799.01,2,1,3,1,1,1,9,0,69.6,Invierno,2.3,335.37,1,18,0.75,251.5275,75.2,Efficient,3,3,False,False,True,True,False
55,Pequeño Comercio,58.7,1,2,12.0,Average,C,0,1,0,12.0,710.1,0,2,0,2,0,0,4,1,74.9,Primavera,21.8,166.35,1,19,0.75,124.7625,40.4,Moderate,1,2,False,False,False,True,False
56,Casa,920.7906666251148,4,2,61.0,Excellent,E,0,6,0,8.0,2068.57,3,1,1,7,1,1,14,1,64.2,Otoño,14.5,284.41,1,21,0.75,213.3075,62.3,Efficient,3,0,True,False,False,True,False
57,Casa,193.0,7,1,8.0,Good,D,0,5,0,8.8,3123.62,2,1,5,4,1,0,13,1,81.6,Primavera,23.8,339.2,1,19,0.75,254.4,50.9,Moderate,2,1,False,False,False,True,False
58,Departamento,45.9,1,1,35.0,Poor,A,0,1,0,11.3,639.35,4,1,0,1,1,0,7,1,66.1,Invierno,11.3,187.83,1,14,0.75,140.8725,45.8,Moderate,0,4,True,False,False,False,True
59,Departamento,56.1,2,1,38.0,Poor,E,0,5,1,18.7,1342.08,3,2,2,7,1,0,15,1,77.4,Invierno,9.4,413.32,1,16,0.75,309.99,22.7,Inefficient,0,0,True,False,False,True,False
60,Casa,107.7,7,5,57.0,Average,E,0,2,1,20.2,893.82,2,2,1,3,1,0,9,0,45.5,Primavera,24.0,498.54,1,22,0.75,373.905,21.9,Inefficient,1,0,False,False,True,True,False
61,Casa,241.1,4,2,25.0,Good,C,0,5,0,13.7,1330.21,3,2,4,4,1,1,15,1,90.2,Verano,23.5,1028.43,1,19,0.75,771.3225,41.5,Moderate,2,2,False,True,False,False,False
62,Casa,129.0,7,5,76.0,Poor,E,1,6,1,19.6,1318.41,0,1,2,5,1,0,9,1,35.5,Primavera,21.0,611.07,1,17,0.75,458.3025,36.2,Moderate,0,0,True,False,False,False,True
63,Casa,164.4,5,2,21.0,Good,E,0,4,0,9.4,1183.76,1,2,5,2,1,0,11,0,76.0,Otoño,10.7,485.5,1,18,0.75,364.125,43.3,Moderate,2,0,False,False,True,False,False
64,Departamento,54.6,2,3,33.0,Good,A,0,1,1,24.0,932.5,2,1,0,1,1,0,5,1,54.5,Otoño,10.7,335.32,1,17,0.75,251.49,41.6,Moderate,2,4,True,False,False,False,True
65,Departamento,78.7,4,2,23.0,Excellent,E,0,4,0,14.9,2850.5,0,1,5,3,1,0,10,1,72.2,Otoño,12.3,647.26,1,22,0.75,485.445,48.1,Moderate,3,0,False,False,False,False,True
66,Casa,127.5,2,3,70.0,Average,C,0,1,1,21.4,2296.0,0,1,2,1,1,0,5,1,47.0,Verano,31.4,391.68,1,19,0.75,293.76,27.1,Moderate,1,2,True,False,False,True,False
67,Casa,243.6,8,5,13.0,Average,E,0,8,0,16.4,1914.71,3,2,10,8,1,0,24,1,90.2,Otoño,20.5,1489.38,1,16,0.75,1117.035,25.2,Inefficient,1,0,False,False,False,False,False
68,Casa,123.8,2,2,22.0,Poor,D,0,2,0,8.8,3504.85,1,1,2,2,1,1,8,1,77.0,Otoño,12.6,260.26,1,19,0.75,195.195,32.5,Moderate,0,1,False,False,False,False,True
69,Casa,107.3,6,1,29.0,Good,E,1,5,0,9.8,2129.77,1,2,2,9,1,1,16,1,66.1,Otoño,13.2,163.7,1,20,0.75,122.775,64.1,Efficient,2,0,False,False,False,True,False
70,Pequeño Comercio,93.9,4,4,14.0,Good,A,0,3,0,13.9,759.2,0,2,1,1,0,0,4,0,76.3,Primavera,18.2,313.39,1,21,0.75,235.0425,70.6,Efficient,2,4,False,False,True,True,False
71,Departamento,45.8,2,1,34.0,Excellent,C,0,1,0,9.6,810.44,0,1,2,0,1,0,4,1,71.5,Primavera,19.3,103.59,1,20,0.75,77.6925,60.4,Efficient,3,2,True,False,False,True,False
72,Casa,216.9,7,5,2.0,Excellent,E,0,4,0,13.9,3179.47,5,1,2,3,1,1,13,1,90.3,Otoño,16.5,338.91,1,16,0.75,254.1825,63.9,Efficient,3,0,False,False,False,True,False
73,Departamento,57.3,2,2,19.0,Poor,A,0,2,0,16.2,1096.72,0,1,0,1,1,0,3,1,75.6,Primavera,20.2,343.74,1,20,0.75,257.805,39.8,Moderate,0,4,False,False,False,False,True
74,Pequeño Comercio,77.5,2,1,19.0,Good,D,0,1,0,9.7,3216.61,1,2,0,1,0,0,4,1,72.6,Verano,25.2,141.91,1,19,0.75,106.4325,53.5,Efficient,2,1,False,False,False,True,False
75,Casa,134.6,6,5,16.0,Poor,C,1,3,0,8.0,2714.47,1,1,1,3,1,1,8,1,66.7,Invierno,11.3,185.51,1,20,0.75,139.1325,51.4,Moderate,0,2,False,False,False,True,False
76,Departamento,77.2,4,3,15.0,Excellent,C,0,1,1,23.6,1602.54,0,2,3,2,1,0,8,1,58.5,Invierno,4.9,904.58,1,14,0.75,678.4350000000001,19.4,Inefficient,3,2,False,False,False,False,True
77,Departamento,40.1,1,3,55.0,Poor,A,0,3,0,18.8,515.32,0,1,1,3,1,0,6,1,62.5,Primavera,17.2,496.51,1,21,0.75,372.3825,40.7,Moderate,0,4,True,False,False,False,True
78,Departamento,43.4,1,1,24.0,Excellent,E,0,1,1,16.6,815.01,1,1,0,2,1,0,5,1,66.2,Otoño,16.2,262.94,1,17,0.75,197.205,32.1,Moderate,3,0,False,False,False,False,True
79,Casa,60.6,2,3,51.0,Excellent,C,0,6,0,10.1,1330.21,0,1,8,3,1,0,13,0,64.4,Verano,27.8,359.25,1,18,0.75,269.4375,65.1,Efficient,3,2,False,False,True,False,True
80,Casa,97.9,6,2,39.0,Poor,D,0,3,0,8.7,1569.49,1,2,5,0,1,0,9,0,66.7,Invierno,11.2,248.93,1,18,0.75,186.6975,22.9,Inefficient,0,1,False,False,True,True,False
81,Departamento,79.9,1,1,52.0,Good,E,0,1,1,19.5,1330.21,0,1,2,3,1,0,7,0,63.7,Invierno,8.5,699.47,1,21,0.75,524.6025,1.7,Inefficient,2,0,False,False,True,False,False
82,Casa,127.8,4,1,50.0,Good,E,0,3,1,20.5,627.09,1,2,1,3,1,0,8,0,68.6,Verano,34.1,516.99,1,19,0.75,387.7425,38.6,Moderate,2,0,False,False,True,True,False
83,Casa,93.4,4,1,36.0,Poor,B,0,6,1,15.3,1931.69,1,2,5,7,1,1,17,1,78.4,Invierno,7.7,987.05,1,19,0.75,740.2874999999999,31.1,Moderate,0,3,True,False,False,False,False
84,Casa,121.5,3,1,17.0,Excellent,A,0,1,0,11.6,2150.79,1,1,1,0,1,0,4,0,61.0,Primavera,23.5,191.72,1,22,0.75,143.79,66.9,Efficient,3,4,False,False,True,False,True
85,Departamento,54.6,1,1,28.0,Good,A,0,1,0,8.0,614.26,1,1,1,2,1,0,6,0,76.3,Verano,26.6,225.98,1,19,0.75,169.485,62.8,Efficient,2,4,False,False,True,False,True
86,Departamento,58.3,3,2,27.0,Poor,A,0,5,0,12.6,702.36,1,2,3,6,1,0,13,1,73.8,Otoño,17.8,434.4,1,21,0.75,325.79999999999995,44.5,Moderate,0,4,False,False,False,False,True
87,Departamento,72.2,4,1,30.0,Poor,C,0,2,1,21.4,2081.59,0,1,5,2,1,0,9,1,50.2,Invierno,10.3,824.81,1,19,0.75,618.6075,0.0,Inefficient,0,2,False,False,False,False,False
88,Casa,121.8,4,2,47.0,Poor,A,0,4,0,11.5,1390.82,0,1,6,3,1,0,11,0,30.2,Otoño,17.3,559.33,1,18,0.75,419.49750000000006,31.6,Moderate,0,4,False,False,True,False,True
89,Pequeño Comercio,65.5,1,1,15.0,Good,E,0,1,0,18.0,1341.77,1,2,0,2,0,0,5,1,78.1,Primavera,23.6,529.18,1,20,0.75,396.885,0.8,Inefficient,2,0,False,False,False,False,False
90,Departamento,41.3,1,2,30.0,Good,C,0,1,0,20.0,1393.2,1,1,1,0,1,0,4,1,54.2,Otoño,16.2,240.71,1,17,0.75,180.5325,50.3,Moderate,2,2,False,False,False,True,False
91,Casa,158.4,5,1,41.0,Poor,E,0,6,0,12.0,1650.66,1,2,11,2,1,0,17,1,58.5,Verano,30.1,1047.93,1,21,0.75,785.9475,5.9,Inefficient,0,0,True,False,False,False,False
92,Casa,137.2,1,1,7.0,Good,B,1,1,1,18.5,1893.68,3,1,0,2,1,0,7,1,81.2,Otoño,14.7,246.02,1,15,0.75,184.515,67.4,Efficient,2,3,False,False,False,True,False
93,Pequeño Comercio,107.3,4,1,11.0,Good,A,0,8,0,9.6,1289.82,1,2,4,2,0,0,9,0,83.1,Primavera,20.2,404.97,1,16,0.75,303.7275,65.1,Efficient,2,4,False,False,True,False,True
94,Casa,198.1,2,3,5.0,Excellent,B,0,1,1,18.3,973.01,4,1,0,3,1,0,9,0,62.8,Verano,27.7,650.55,1,20,0.75,487.9125,50.3,Moderate,3,3,False,False,True,True,False
95,Casa,136.9,5,4,50.0,Average,C,0,4,1,15.7,1189.8,0,1,1,3,1,0,6,0,43.8,Verano,27.7,572.58,1,22,0.75,429.43500000000006,37.9,Moderate,1,2,False,False,True,False,True
96,Departamento,94.4,1,1,12.0,Excellent,A,0,1,1,21.9,1037.25,1,1,0,3,1,0,6,1,74.6,Invierno,6.9,575.82,1,20,0.75,431.865,31.9,Moderate,3,4,False,False,False,False,True
97,Pequeño Comercio,58.8,4,2,30.0,Good,E,0,8,0,9.8,587.89,0,2,5,5,0,0,12,1,65.9,Invierno,10.1,504.06,1,20,0.75,378.045,45.5,Moderate,2,0,False,False,False,False,True
98,Departamento,84.7,6,3,35.0,Good,D,0,5,0,10.2,1117.44,0,1,4,3,1,0,9,0,53.5,Verano,26.2,352.06,1,16,0.75,264.045,37.9,Moderate,2,1,False,False,True,False,True
99,Casa,55.9,2,1,45.0,Poor,A,0,2,1,21.6,2243.32,1,1,0,4,1,0,7,1,74.0,Otoño,20.6,428.31,1,19,0.75,321.2325,37.6,Moderate,0,4,True,False,False,True,False
100,Departamento,38.4,1,1,66.0,Average,E,0,2,0,16.6,1102.83,0,1,1,1,1,0,4,1,39.2,Primavera,17.6,256.28,1,17,0.75,192.21,21.6,Inefficient,1,0,True,False,False,False,True
101,Casa,98.1,1,1,9.0,Good,B,0,1,1,17.7,1290.31,1,1,0,3,1,0,6,1,95.9,Primavera,29.9,314.75,1,18,0.75,236.0625,50.8,Moderate,2,3,False,False,False,False,True
102,Casa,104.5,4,4,16.0,Good,A,0,8,1,19.9,1316.89,2,1,4,6,1,0,14,1,73.3,Otoño,12.7,939.19,1,17,0.75,704.3925,62.6,Efficient,2,4,False,False,False,False,True
103,Casa,205.6,8,4,63.0,Poor,E,0,7,0,13.6,2728.89,4,2,8,4,1,0,19,1,49.5,Invierno,4.4,670.09,1,20,0.75,502.5675,21.2,Inefficient,0,0,True,False,False,True,False
104,Departamento,83.9,2,1,18.0,Excellent,E,0,2,0,13.5,985.09,0,2,2,0,1,0,5,1,73.3,Otoño,18.1,266.35,1,19,0.75,199.7625,61.2,Efficient,3,0,False,False,False,True,False
105,Casa,126.4,2,1,13.0,Average,B,0,2,1,19.0,3435.73,2,1,1,4,1,0,9,1,77.3,Verano,27.8,1235.75,1,19,0.75,926.8125,19.4,Inefficient,1,3,False,False,False,False,True
106,Casa,113.9,4,4,26.0,Good,E,1,1,1,20.2,1963.73,1,1,1,1,1,0,5,1,67.0,Verano,27.4,519.57,1,21,0.75,389.6775,31.7,Moderate,2,0,False,False,False,False,True
107,Casa,170.7,6,2,41.0,Good,C,0,8,0,15.2,1979.81,4,1,7,4,1,0,17,1,46.5,Primavera,18.5,748.66,1,15,0.75,561.495,54.8,Efficient,2,2,True,False,False,True,False
108,Casa,118.5,2,1,35.0,Good,E,0,3,0,18.2,1511.54,1,2,2,2,1,0,8,0,63.7,Verano,25.1,577.93,1,19,0.75,433.4475,39.9,Moderate,2,0,False,False,True,False,True
109,Casa,155.8,3,1,46.0,Poor,A,0,1,0,13.6,1330.21,0,2,1,0,1,0,4,1,57.3,Primavera,20.9,312.19,1,20,0.75,234.1425,11.8,Inefficient,0,4,True,False,False,False,True
110,Departamento,86.6,1,1,40.0,Poor,C,0,1,0,13.4,3679.58,3,1,0,3,1,1,9,1,73.8,Invierno,11.3,307.41,1,16,0.75,230.5575,17.4,Inefficient,0,2,True,False,False,False,True
111,Casa,138.0,7,5,25.0,Excellent,D,0,5,1,20.7,2001.61,0,1,2,2,1,1,7,1,69.6,Invierno,9.6,1631.56,1,21,0.75,1223.67,28.9,Moderate,3,1,False,False,False,False,False
112,Departamento,92.1,5,2,14.0,Average,A,0,7,0,11.2,1174.21,0,2,6,5,1,0,14,1,66.7,Verano,31.0,478.13,1,16,0.75,358.5975,55.4,Efficient,1,4,False,False,False,False,True
113,Departamento,80.9,1,1,37.0,Average,C,0,1,1,19.1,2065.87,0,1,0,2,1,0,4,1,63.4,Otoño,15.4,177.13,1,19,0.75,132.8475,40.2,Moderate,1,2,True,False,False,True,False
114,Pequeño Comercio,103.6,1,1,63.0,Average,E,0,1,0,8.5,1613.77,0,2,0,0,0,0,2,1,54.0,Invierno,7.1,221.31,1,17,0.75,165.98250000000002,13.8,Inefficient,1,0,True,False,False,False,False
115,Casa,112.6,1,1,41.0,Poor,E,0,2,1,19.0,714.8,0,1,1,2,1,0,5,1,60.4,Otoño,13.0,494.64,1,19,0.75,370.98,6.5,Inefficient,0,0,True,False,False,False,True
116,Casa,85.1,4,1,36.0,Poor,D,0,2,0,11.5,2474.91,1,1,2,1,1,0,6,1,70.7,Otoño,17.9,310.41,1,19,0.75,232.8075,27.9,Moderate,0,1,True,False,False,False,True
117,Casa,91.7,2,3,42.0,Poor,A,0,1,0,12.6,940.8,0,1,0,1,1,0,3,1,53.2,Primavera,22.9,197.33,1,15,0.75,147.9975,41.1,Moderate,0,4,True,False,False,True,False
118,Casa,96.5,5,4,30.0,Good,B,0,6,1,17.4,1021.1,0,1,2,3,1,0,7,1,48.3,Primavera,14.6,787.32,1,19,0.75,590.49,56.8,Efficient,2,3,False,False,False,False,True
119,Departamento,134.6,2,1,32.0,Average,C,0,1,0,8.7,5123.52,2,1,1,0,1,1,6,1,73.2,Primavera,24.7,208.78,1,21,0.75,156.585,40.1,Moderate,1,2,True,False,False,False,True
120,Casa,160.5,3,1,29.0,Good,D,0,3,0,12.5,1266.65,0,1,1,1,1,0,4,1,61.8,Verano,32.7,403.8,1,20,0.75,302.85,35.3,Moderate,2,1,False,False,False,False,True
121,Casa,118.9,1,1,25.0,Excellent,B,0,1,1,21.5,1931.61,2,1,1,1,1,1,7,1,74.6,Otoño,15.5,491.87,1,16,0.75,368.9025,39.2,Moderate,3,3,False,False,False,False,True
122,Casa,59.5,1,1,15.0,Poor,A,1,1,0,15.0,608.45,1,2,1,1,1,0,6,1,77.3,Verano,28.8,232.26,1,20,0.75,174.195,56.7,Efficient,0,4,False,False,False,True,False
