id,tipo_vivienda,metros_cuadrados,habitaciones,baños,antiguedad_vivienda,aislamiento,eficiencia_construccion,paneles_solares,cantidad_personas,trabajo_remoto,horas_en_casa,ingreso_mensual,aires_acondicionados,heladeras,televisores,computadoras,lavadoras,secadoras,cantidad_equipos,calefaccion,tipo_calefaccion,tipo_iluminacion,electrodomesticos_eficientes,factor_estacional,temperatura_media,consumo_kwh,uso_horario_pico,horas_alto_consumo,categoria
90,Departamento,41.3,1,2,30.0,Good,C,False,1,False,20.0,1393.2,1,1,1,0,1,0,4,True,Eléctrica,LED,54.2,Otoño,16.2,240.71,True,17,Moderate
91,Casa,158.4,5,1,41.0,Poor,E,False,6,False,12.0,1650.66,1,2,11,2,1,0,17,True,Gas,Incandescente,58.5,Verano,30.1,1047.93,True,21,Inefficient
92,Casa,137.2,1,1,7.0,Good,B,True,1,True,18.5,1893.68,3,1,0,2,1,0,7,True,Eléctrica,LED,81.2,Otoño,14.7,246.02,True,15,Efficient
93,Pequeño Comercio,107.3,4,1,11.0,Good,A,False,8,False,9.6,1289.82,1,2,4,2,0,0,9,False,Ninguna,Mixta,83.1,Primavera,20.2,404.97,True,16,Efficient
94,Casa,198.1,2,3,5.0,Excellent,B,False,1,True,18.3,973.01,4,1,0,3,1,0,9,False,Ninguna,LED,62.8,Verano,27.7,650.55,True,20,Moderate
95,Casa,136.9,5,4,50.0,Average,C,False,4,True,15.7,1189.8,0,1,1,3,1,0,6,False,Ninguna,Mixta,43.8,Verano,27.7,572.58,True,22,Moderate
96,Departamento,94.4,1,1,12.0,Excellent,A,False,1,True,21.9,1037.25,1,1,0,3,1,0,6,True,Eléctrica,Mixta,74.6,Invierno,6.9,575.82,True,20,Moderate
97,Pequeño Comercio,58.8,4,2,30.0,Good,E,False,8,False,9.8,587.89,0,2,5,5,0,0,12,True,Eléctrica,Mixta,65.9,Invierno,10.1,504.06,True,20,Moderate
98,Departamento,84.7,6,3,35.0,Good,D,False,5,False,10.2,1117.44,0,1,4,3,1,0,9,False,Ninguna,Mixta,53.5,Verano,26.2,352.06,True,16,Moderate
99,Casa,55.9,2,1,45.0,Poor,A,False,2,True,21.6,2243.32,1,1,0,4,1,0,7,True,Gas,LED,74.0,Otoño,20.6,428.31,True,19,Moderate
100,Departamento,38.4,1,1,66.0,Average,E,False,2,False,16.6,1102.83,0,1,1,1,1,0,4,True,Gas,Mixta,39.2,Primavera,17.6,256.28,True,17,Inefficient
101,Casa,98.1,1,1,9.0,Good,B,False,1,True,17.7,1290.31,1,1,0,3,1,0,6,True,Eléctrica,Mixta,95.9,Primavera,29.9,314.75,True,18,Moderate
102,Casa,104.5,4,4,16.0,Good,A,False,8,True,19.9,1316.89,2,1,4,6,1,0,14,True,Eléctrica,Mixta,73.3,Otoño,12.7,939.19,True,17,Efficient
103,Casa,205.6,8,4,63.0,Poor,E,False,7,False,13.6,2728.89,4,2,8,4,1,0,19,True,Gas,LED,49.5,Invierno,4.4,670.09,True,20,Inefficient
104,Departamento,83.9,2,1,18.0,Excellent,E,False,2,False,13.5,985.09,0,2,2,0,1,0,5,True,Eléctrica,LED,73.3,Otoño,18.1,266.35,True,19,Efficient
105,Casa,126.4,2,1,13.0,Average,B,False,2,True,19.0,3435.73,2,1,1,4,1,0,9,True,Eléctrica,Mixta,77.3,Verano,27.8,1235.75,True,19,Inefficient
106,Casa,113.9,4,4,26.0,Good,E,True,1,True,20.2,1963.73,1,1,1,1,1,0,5,True,Eléctrica,Mixta,67.0,Verano,27.4,519.57,True,21,Moderate
107,Casa,170.7,6,2,41.0,Good,C,False,8,False,15.2,1979.81,4,1,7,4,1,0,17,True,Gas,LED,46.5,Primavera,18.5,748.66,True,15,Efficient
108,Casa,118.5,2,1,35.0,Good,E,False,3,False,18.2,1511.54,1,2,2,2,1,0,8,False,Ninguna,Mixta,63.7,Verano,25.1,577.93,True,19,Moderate
109,Casa,155.8,3,1,46.0,Poor,A,False,1,False,13.6,1330.21,0,2,1,0,1,0,4,True,Gas,Mixta,57.3,Primavera,20.9,312.19,True,20,Inefficient
110,Departamento,86.6,1,1,40.0,Poor,C,False,1,False,13.4,3679.58,3,1,0,3,1,1,9,True,Gas,Mixta,73.8,Invierno,11.3,307.41,True,16,Inefficient
111,Casa,138.0,7,5,25.0,Excellent,D,False,5,True,20.7,2001.61,0,1,2,2,1,1,7,True,Eléctrica,Incandescente,69.6,Invierno,9.6,1631.56,True,21,Moderate
112,Departamento,92.1,5,2,14.0,Average,A,False,7,False,11.2,1174.21,0,2,6,5,1,0,14,True,Eléctrica,Mixta,66.7,Verano,31.0,478.13,True,16,Efficient
113,Departamento,80.9,1,1,37.0,Average,C,False,1,True,19.1,2065.87,0,1,0,2,1,0,4,True,Gas,LED,63.4,Otoño,15.4,177.13,True,19,Moderate
114,Pequeño Comercio,103.6,1,1,63.0,Average,E,False,1,False,8.5,1613.77,0,2,0,0,0,0,2,True,Gas,Incandescente,54.0,Invierno,7.1,221.31,True,17,Inefficient
115,Casa,112.6,1,1,41.0,Poor,E,False,2,True,19.0,714.8,0,1,1,2,1,0,5,True,Gas,Mixta,60.4,Otoño,13.0,494.64,True,19,Inefficient
116,Casa,85.1,4,1,36.0,Poor,D,False,2,False,11.5,2474.91,1,1,2,1,1,0,6,True,Gas,Mixta,70.7,Otoño,17.9,310.41,True,19,Moderate
117,Casa,91.7,2,3,42.0,Poor,A,False,1,False,12.6,940.8,0,1,0,1,1,0,3,True,Gas,LED,53.2,Primavera,22.9,197.33,True,15,Moderate
118,Casa,96.5,5,4,30.0,Good,B,False,6,True,17.4,1021.1,0,1,2,3,1,0,7,True,Eléctrica,Mixta,48.3,Primavera,14.6,787.32,True,19,Efficient
119,Departamento,134.6,2,1,32.0,Average,C,False,1,False,8.7,5123.52,2,1,1,0,1,1,6,True,Gas,Mixta,73.2,Primavera,24.7,208.78,True,21,Moderate
120,Casa,160.5,3,1,29.0,Good,D,False,3,False,12.5,1266.65,0,1,1,1,1,0,4,True,Eléctrica,Mixta,61.8,Verano,32.7,403.8,True,20,Moderate
121,Casa,118.9,1,1,25.0,Excellent,B,False,1,True,21.5,1931.61,2,1,1,1,1,1,7,True,Eléctrica,Mixta,74.6,Otoño,15.5,491.87,True,16,Moderate
122,Casa,59.5,1,1,15.0,Poor,A,True,1,False,15.0,608.45,1,2,1,1,1,0,6,True,Eléctrica,LED,77.3,Verano,28.8,232.26,True,20,Efficient
123,Departamento,834.6187563369568,1,1,29.0,Good,C,False,1,False,12.6,1488.34,1,1,0,1,1,0,4,True,Eléctrica,LED,50.3,Verano,26.6,289.7,True,18,Moderate
124,Departamento,73.2,2,2,41.0,Poor,A,False,1,False,13.9,1557.35,0,1,1,0,1,0,3,False,Ninguna,Mixta,56.1,Primavera,21.1,106.07,True,20,Moderate
125,Casa,142.7,2,1,26.0,Poor,A,False,1,True,17.8,1214.69,0,2,3,1,1,0,7,False,Ninguna,Mixta,51.6,Primavera,23.9,483.6,True,20,Inefficient
126,Casa,130.0,2,1,37.0,Average,B,False,1,True,20.6,5337.8,3,1,0,2,1,1,8,True,Gas,LED,64.7,Verano,27.4,769.81,True,18,Inefficient
127,Casa,169.5,7,2,57.0,Average,E,False,7,True,18.7,2729.52,0,2,3,5,1,0,11,False,Ninguna,Incandescente,45.1,Invierno,8.7,1160.02,True,18,Moderate
128,Departamento,67.1,4,2,20.0,Excellent,E,False,4,False,13.1,979.36,2,1,2,3,1,0,9,False,Ninguna,Incandescente,62.6,Verano,27.4,662.77,True,16,Moderate
129,Casa,82.1,2,2,47.0,Poor,C,False,3,False,15.4,1657.07,0,2,2,5,1,0,10,True,Gas,Incandescente,67.3,Primavera,22.7,657.49,True,18,Inefficient
130,Departamento,49.2,1,1,21.0,Good,E,False,1,True,19.6,1292.92,0,1,1,3,1,0,6,True,Eléctrica,Mixta,78.7,Primavera,22.3,528.56,True,21,Inefficient
131,Casa,186.7,8,3,33.0,Average,E,False,5,False,12.5,1751.85,2,1,8,4,1,0,16,True,Gas,Mixta,73.4,Invierno,6.6,665.21,True,20,Moderate
132,Casa,86.8,2,1,20.0,Poor,C,False,2,True,14.9,238.56,0,1,2,6,1,0,10,True,Eléctrica,Mixta,61.6,Primavera,21.4,2013.9549570887584,True,21,Inefficient
133,Departamento,135.0,1,3,47.0,Excellent,D,False,1,False,9.0,2681.36,0,1,3,0,1,0,5,True,Gas,LED,74.6,Otoño,16.5,159.65,True,17,Efficient
134,Casa,127.1,7,4,38.0,Poor,E,False,4,True,23.0,1746.98,1,2,5,5,1,0,14,False,Ninguna,Mixta,65.1,Otoño,18.0,1027.09,True,16,Inefficient
135,Departamento,54.5,1,1,52.0,Poor,B,False,1,True,24.0,508.46,0,1,2,2,1,0,6,True,Gas,Mixta,54.9,Invierno,6.5,560.28,True,19,Inefficient
136,Casa,106.5,4,1,8.0,Excellent,A,False,6,False,10.6,921.01,1,2,5,5,1,0,14,True,Eléctrica,Mixta,82.5,Otoño,13.6,545.83,True,17,Efficient
137,Departamento,41.4,1,1,28.0,Poor,C,False,1,True,24.0,989.96,2,1,0,3,1,0,7,False,Ninguna,LED,72.3,Invierno,7.1,299.0,True,16,Inefficient
138,Casa,112.3,3,1,39.0,Poor,E,False,3,False,8.1,2108.08,1,1,1,2,1,0,6,True,Gas,LED,43.2,Invierno,9.6,248.27,True,18,Moderate
139,Departamento,56.7,1,1,28.0,Good,A,False,1,False,16.0,692.56,1,1,1,2,1,0,6,True,Eléctrica,LED,80.7,Invierno,6.4,452.27,True,19,Moderate
140,Casa,105.3,1,2,13.0,Average,C,False,3,False,10.2,1550.26,0,1,2,0,1,1,5,True,Eléctrica,Mixta,66.7,Primavera,22.2,238.83,True,17,Moderate
141,Departamento,65.0,1,2,18.0,Poor,E,False,1,False,14.1,719.34,0,1,0,0,1,0,2,True,Eléctrica,Mixta,61.8,Verano,33.8,232.14,True,16,Inefficient
142,Casa,91.9,6,5,22.0,Good,B,False,5,True,14.9,1343.43,1,2,2,8,1,1,15,False,Ninguna,LED,69.9,Invierno,12.5,554.25,True,18,Efficient
143,Casa,205.5,8,4,31.0,Good,C,False,8,False,9.1,1771.59,3,1,8,6,1,0,19,True,Gas,Incandescente,72.0,Verano,28.7,734.11,True,16,Moderate
144,Departamento,33.0,1,3,30.0,Excellent,C,False,1,False,8.0,345.92,0,2,0,0,1,0,3,False,Ninguna,LED,59.2,Primavera,26.3,69.39,True,13,Efficient
145,Casa,99.7,3,2,20.0,Poor,B,False,1,False,19.0,3364.36,3,2,0,0,1,0,6,True,Eléctrica,Mixta,87.1,Otoño,15.5,288.03,True,15,Moderate
146,Departamento,93.1,4,2,34.0,Excellent,E,False,1,False,12.5,578.24,0,1,0,1,1,0,3,True,Gas,Incandescente,82.3,Otoño,14.9,239.64,True,18,Moderate
147,Casa,128.4,2,1,27.0,Good,B,False,5,True,17.2,535.57,1,1,5,11,1,0,19,False,Ninguna,Incandescente,57.2,Primavera,23.6,990.42,True,18,Moderate
