id,tipo_vivienda,metros_cuadrados,habitaciones,baños,antiguedad_vivienda,aislamiento,eficiencia_construccion,paneles_solares,cantidad_personas,trabajo_remoto,horas_en_casa,ingreso_mensual,aires_acondicionados,heladeras,televisores,computadoras,lavadoras,secadoras,cantidad_equipos,calefaccion,tipo_calefaccion,tipo_iluminacion,electrodomesticos_eficientes,factor_estacional,temperatura_media,consumo_kwh,uso_horario_pico,horas_alto_consumo,tarifa_kwh,costo_estimado,energy_efficiency_score,categoria
15,Casa,123.0,2,1,28.0,Good,B,False,3,False,15.7,3400.11,2,1,1,3,1,1,11,True,Eléctrica,Mixta,44.8,Otoño,16.8,546.1,False,11,0.156,85.19,79.16,Ineficiente
16,Departamento,60.2,1,1,,Good,B,False,1,False,11.9,520.7,2,1,0,0,1,0,10,True,Eléctrica,Mixta,65.1,Verano,35.0,411.94,True,18,0.166,68.38,70.21,Ineficiente
17,Departamento,101.9,3,1,43.0,Poor,E,False,2,False,11.7,1400.4,0,1,3,1,1,0,13,False,Ninguna,LED,70.2,Verano,29.5,212.74,True,21,0.196,41.7,31.92,Eficiente
18,Departamento,57.9,3,5,45.0,Average,E,False,3,False,13.5,2462.48,4,1,1,1,1,0,12,True,Gas,LED,38.5,Otoño,13.7,292.4,True,22,0.204,59.65,41.3,Eficiente
19,Departamento,52.6,1,3,38.0,Good,C,False,2,False,14.8,287.37,1,1,2,0,1,0,12,False,Ninguna,Mixta,62.2,Verano,28.3,532.73,False,16,0.203,108.14,69.41,Ineficiente
20,Departamento,56.9,1,2,47.0,Excellent,A,False,1,False,8.5,,1,1,0,2,1,0,10,True,Gas,Mixta,56.7,Otoño,20.4,201.37,True,17,0.164,33.02,32.82,Eficiente
21,Departamento,45.6,2,3,54.0,Average,E,False,1,True,,964.52,1,2,2,4,1,0,17,True,Gas,Mixta,66.6,Otoño,21.3,469.55,False,22,0.173,81.23,54.31,Moderado
22,Departamento,61.5,2,3,30.0,Poor,E,False,1,True,22.4,1245.1,1,2,0,2,1,0,11,True,Eléctrica,Mixta,58.4,Otoño,14.8,412.89,False,13,0.171,70.6,57.18,Moderado
23,Casa,199.6,4,4,16.0,Good,C,False,3,True,20.1,3118.31,1,1,0,5,1,0,14,True,Eléctrica,Incandescente,63.3,Otoño,18.4,1033.89,True,20,0.161,166.46,132.54,Ineficiente
24,Departamento,69.7,4,4,30.0,Poor,D,False,1,True,21.2,1317.57,0,1,1,2,1,0,6,True,Eléctrica,Mixta,71.7,Primavera,20.1,260.01,False,8,0.166,43.16,53.87,Moderado
25,Departamento,59.2,1,1,27.0,Good,C,False,3,False,8.6,2062.98,2,2,3,2,1,1,17,False,Ninguna,LED,78.4,Verano,24.1,366.86,False,10,0.231,84.74,30.05,Eficiente
26,Casa,140.5,2,2,41.0,Average,A,False,4,False,12.6,2158.5,2,2,2,2,1,0,14,True,Gas,LED,77.4,Primavera,18.8,317.82,True,21,0.185,58.8,44.93,Moderado
27,Departamento,107.6,2,1,35.0,Excellent,E,False,2,False,16.0,652.42,0,1,1,1,1,0,6,True,Gas,Mixta,56.6,Otoño,15.0,375.07,True,16,0.185,69.39,107.44,Ineficiente
28,Casa,119.2,1,1,24.0,Excellent,A,False,1,True,21.9,696.77,1,1,0,1,1,0,11,True,Eléctrica,Mixta,72.8,Primavera,16.6,436.03,True,17,0.175,76.31,66.48,Moderado
29,Casa,381.4,7,3,24.0,Poor,C,False,5,False,8.3,13892.3,3,2,8,5,1,0,23,False,Ninguna,Incandescente,86.3,Primavera,16.8,680.23,False,9,0.183,124.48,36.01,Eficiente
30,Departamento,100.7,7,4,19.0,Excellent,B,False,7,True,16.3,1121.45,0,2,6,5,1,0,18,True,Eléctrica,LED,95.9,Otoño,16.8,455.0,True,19,0.161,73.26,42.12,Eficiente
31,Casa,89.7,1,1,48.0,Average,B,False,2,False,15.8,2823.35,2,1,2,0,1,1,13,True,Gas,Mixta,65.0,Invierno,6.5,441.13,True,20,0.147,64.85,66.89,Ineficiente
32,Pequeño Comercio,62.1,1,1,19.0,Good,B,False,5,False,14.6,583.91,1,3,4,4,0,0,15,True,Eléctrica,LED,72.6,Otoño,13.5,339.26,True,15,0.185,62.76,37.42,Eficiente
33,Casa,136.8,2,2,10.0,Excellent,C,True,2,False,11.4,1932.91,1,1,2,0,1,0,7,True,Eléctrica,LED,62.9,Verano,28.1,162.92,True,16,0.184,29.98,43.39,Moderado
34,Departamento,97.8,4,5,35.0,Excellent,E,False,2,False,15.4,633.15,0,1,5,4,1,0,15,True,Gas,LED,85.4,Invierno,7.1,310.4,True,17,0.201,62.39,36.08,Eficiente
35,Casa,145.8,4,4,16.0,Good,A,False,7,True,20.7,2733.23,3,1,9,1,1,1,24,True,Eléctrica,Mixta,65.9,Invierno,7.7,1023.36,True,20,0.196,200.58,78.17,Ineficiente
36,Casa,103.7,1,1,27.0,Poor,B,False,4,False,8.8,526.16,1,2,1,0,1,0,12,True,Eléctrica,Mixta,,Verano,27.6,469.9,True,17,0.191,89.75,65.96,Moderado
37,Departamento,45.2,1,1,36.0,Excellent,D,False,1,False,12.7,644.79,0,1,1,2,1,1,8,True,Gas,Mixta,57.9,Verano,24.9,227.56,True,16,0.184,41.87,44.54,Moderado
38,Departamento,97.6,3,1,66.0,Average,E,False,2,False,10.4,1445.67,0,1,2,1,1,0,11,True,Gas,Incandescente,41.0,Otoño,11.7,377.46,False,3,0.196,73.98,37.95,Eficiente
39,Departamento,71.0,4,2,24.0,Excellent,E,False,3,False,13.6,1062.39,1,1,1,4,1,0,15,False,Ninguna,Mixta,78.6,Otoño,13.7,373.77,False,13,0.139,51.95,33.73,Eficiente
40,Departamento,51.1,2,1,31.0,Good,E,False,7,False,10.6,413.0,0,1,7,5,1,0,18,True,Gas,Incandescente,,Otoño,9.7,614.28,False,12,0.144,88.46,52.03,Moderado
41,Departamento,86.1,5,5,75.0,Average,A,False,7,True,22.1,1592.15,0,2,9,7,1,0,23,True,Gas,Mixta,57.7,Primavera,17.0,1174.77,True,17,0.216,253.75,87.41,Ineficiente
42,Casa,118.7,5,1,,Poor,C,False,3,False,18.9,1159.6,0,2,2,1,1,0,12,True,Eléctrica,LED,58.9,Invierno,9.3,693.2,False,19,0.172,119.23,108.53,Ineficiente
43,Pequeño Comercio,201.1,4,2,32.0,Good,B,False,5,False,12.2,2932.08,3,3,2,10,0,0,21,True,Gas,LED,84.7,Otoño,13.4,462.83,True,21,0.201,93.03,41.73,Eficiente
44,Pequeño Comercio,107.7,2,1,19.0,Good,A,False,4,False,13.9,1953.02,1,2,5,9,0,0,25,True,Eléctrica,Mixta,54.2,Primavera,19.1,622.3,False,23,0.184,114.5,47.31,Moderado
45,Departamento,70.3,2,1,36.0,Poor,C,False,4,False,13.7,946.12,0,1,3,1,1,0,20,True,Gas,LED,81.1,Invierno,11.3,300.72,False,14,0.165,49.62,18.38,Eficiente
46,Casa,226.3,4,2,49.0,Poor,E,False,5,False,9.9,6946.91,1,2,4,4,1,1,21,False,Ninguna,Mixta,49.9,Verano,27.3,691.42,True,18,0.171,118.23,55.44,Moderado
47,Pequeño Comercio,117.1,1,1,22.0,Good,B,False,1,False,18.6,810.36,1,2,1,1,0,0,14,False,Ninguna,LED,69.6,Otoño,12.8,396.06,False,11,0.174,68.91,42.42,Eficiente
48,Casa,150.8,4,2,17.0,Good,D,False,4,True,23.0,1727.31,3,2,1,4,1,0,17,True,Eléctrica,Mixta,74.2,Primavera,20.2,753.14,False,12,0.169,127.28,70.44,Ineficiente
49,Casa,210.0,3,2,44.0,Excellent,E,False,4,True,23.1,9023.66,5,1,5,3,1,0,19,True,Gas,Mixta,68.9,Invierno,3.7,1037.71,False,11,0.165,171.22,79.03,Ineficiente
50,Casa,174.7,8,5,15.0,Good,C,True,7,False,12.2,946.06,2,1,8,7,1,0,23,True,Eléctrica,LED,70.8,Verano,30.0,268.82,True,17,0.186,50.0,15.96,Eficiente
51,Departamento,69.8,1,1,9.0,Excellent,B,False,1,False,13.4,921.2,0,1,1,1,1,0,9,False,Ninguna,LED,75.2,Invierno,3.2,192.13,False,11,0.151,29.01,28.86,Eficiente
52,Pequeño Comercio,126.2,5,4,50.0,Poor,C,False,7,False,14.7,3067.09,0,3,3,7,0,1,19,True,Gas,LED,61.9,Verano,27.9,720.37,False,10,0.172,123.9,54.4,Moderado
53,Pequeño Comercio,30.0,1,1,10.0,Excellent,C,False,1,False,8.4,451.35,0,2,0,1,0,0,5,True,Eléctrica,LED,77.8,Primavera,22.7,69.65,False,13,0.183,12.75,26.28,Eficiente
54,Casa,83.3,2,2,10.0,Excellent,B,False,2,False,13.9,799.01,2,1,3,1,1,1,15,False,Ninguna,LED,69.6,Invierno,2.3,335.37,False,14,0.175,58.69,36.95,Eficiente
55,Pequeño Comercio,58.7,1,2,12.0,Average,C,False,1,False,12.0,710.1,0,2,0,2,0,0,10,True,Eléctrica,LED,74.9,Primavera,21.8,166.35,False,12,0.169,28.11,19.76,Eficiente
56,Casa,136.8,4,2,61.0,Excellent,E,False,6,False,8.0,2068.57,3,1,1,7,1,1,20,True,Gas,LED,64.2,Otoño,14.5,284.41,False,13,0.194,55.18,21.14,Eficiente
57,Casa,193.0,7,1,8.0,Good,D,False,5,False,8.8,3123.62,2,1,5,4,1,0,16,True,Eléctrica,LED,81.6,Primavera,23.8,339.2,True,20,0.178,60.38,41.73,Eficiente
58,Departamento,45.9,1,1,35.0,Poor,A,False,1,False,11.3,639.35,4,1,0,1,1,0,12,True,Gas,Mixta,66.1,Invierno,11.3,187.83,False,9,0.191,35.88,22.8,Eficiente
59,Departamento,56.1,2,1,38.0,Poor,E,False,5,True,18.7,1342.08,3,2,2,7,1,0,19,True,Gas,LED,77.4,Invierno,9.4,413.32,True,17,0.198,81.84,35.85,Eficiente
60,Casa,107.7,7,5,57.0,Average,E,False,2,True,20.2,893.82,2,2,1,3,1,0,13,False,Ninguna,LED,45.5,Primavera,24.0,498.54,True,18,0.173,86.25,70.93,Ineficiente
61,Casa,241.1,4,2,25.0,Good,C,False,5,False,13.7,14147.2,3,2,4,4,1,1,17,True,Losa Radiante,Incandescente,90.2,Verano,23.5,1028.43,False,15,0.193,198.49,103.64,Ineficiente
62,Casa,129.0,7,5,76.0,Poor,E,True,6,True,19.6,1318.41,0,1,2,5,1,0,11,True,Gas,Mixta,35.5,Primavera,21.0,611.07,True,17,0.179,109.38,89.87,Ineficiente
63,Casa,164.4,5,2,21.0,Good,E,False,4,False,9.4,1183.76,1,2,5,2,1,0,20,False,Ninguna,Incandescente,76.0,Otoño,10.7,485.5,True,17,0.16,77.68,41.03,Eficiente
64,Departamento,54.6,2,3,33.0,Good,A,False,1,True,24.0,932.5,2,1,0,1,1,0,8,True,Gas,Mixta,54.5,Otoño,10.7,335.32,True,17,0.175,58.68,72.78,Ineficiente
65,Departamento,78.7,4,2,23.0,Excellent,E,False,4,False,,2850.5,0,1,5,3,1,0,16,True,Eléctrica,Mixta,72.2,Otoño,12.3,647.26,False,10,0.174,112.62,58.61,Moderado
66,Casa,127.5,2,3,70.0,Average,C,False,1,True,21.4,,0,1,2,1,1,0,10,True,Gas,LED,47.0,Verano,31.4,391.68,False,8,0.163,63.84,46.95,Moderado
67,Casa,243.6,8,5,13.0,Average,E,False,8,False,16.4,1914.71,3,2,10,8,1,0,28,True,Eléctrica,Incandescente,90.2,Otoño,20.5,1489.38,True,19,0.147,218.94,96.78,Ineficiente
68,Casa,123.8,2,2,,Poor,D,False,2,False,8.8,3504.85,1,1,2,2,1,1,10,True,Eléctrica,Mixta,77.0,Otoño,12.6,260.26,True,21,0.204,53.09,47.24,Moderado
69,Casa,107.3,6,1,29.0,Good,E,True,5,False,9.8,2129.77,1,2,2,9,1,1,24,True,Eléctrica,LED,66.1,Otoño,13.2,163.7,False,12,0.171,27.99,8.46,Eficiente
70,Pequeño Comercio,93.9,4,4,14.0,Good,A,False,3,False,14.0,759.2,0,2,1,1,0,0,10,False,Ninguna,LED,76.3,Primavera,18.2,313.39,False,14,0.191,59.86,50.01,Moderado
71,Departamento,45.8,2,1,34.0,Excellent,C,False,1,False,9.6,810.44,0,1,2,0,1,0,6,True,Gas,LED,,Primavera,19.3,103.59,False,11,0.199,20.61,25.31,Eficiente
72,Casa,216.9,7,5,2.0,Excellent,E,False,4,False,12.2,3179.47,5,1,2,3,1,1,15,True,Eléctrica,LED,,Otoño,16.5,338.91,False,12,0.185,62.7,25.45,Eficiente
73,Departamento,57.3,2,2,19.0,Poor,A,False,2,False,16.2,1096.72,0,1,0,1,1,0,14,True,Eléctrica,Mixta,75.6,Primavera,20.2,343.74,False,18,0.148,50.87,42.4,Eficiente
74,Pequeño Comercio,77.5,2,1,19.0,Good,D,False,1,False,9.7,3216.61,1,2,0,1,0,0,9,True,Eléctrica,LED,72.6,Verano,25.2,141.91,False,17,0.175,24.83,25.57,Eficiente
75,Casa,134.6,6,5,16.0,Poor,C,True,3,False,8.0,2714.47,1,1,1,3,1,1,14,True,Eléctrica,LED,73.9,Invierno,11.3,185.51,False,14,0.196,36.36,22.0,Eficiente
76,Departamento,77.2,4,3,15.0,Excellent,C,False,1,True,23.6,1602.54,0,2,3,2,1,0,15,True,Eléctrica,Mixta,58.5,Invierno,4.9,904.58,True,18,0.207,187.25,107.34,Ineficiente
77,Departamento,40.1,1,3,55.0,Poor,A,False,3,False,18.8,515.32,0,1,1,3,1,0,10,True,Gas,Mixta,62.5,Primavera,17.2,496.51,False,15,0.182,90.36,76.61,Ineficiente
78,Departamento,43.4,1,1,24.0,Excellent,E,False,1,True,16.6,815.01,1,1,0,2,1,0,10,True,Eléctrica,Mixta,66.2,Otoño,16.2,262.94,True,16,0.168,44.17,44.86,Moderado
79,Casa,60.6,2,3,51.0,Excellent,C,False,6,False,10.1,1239.9,0,1,8,3,1,0,18,False,Ninguna,Mixta,64.4,Verano,27.8,359.25,False,9,0.173,62.15,19.84,Eficiente
80,Casa,97.9,6,2,39.0,Poor,D,False,3,False,8.7,1569.49,1,2,5,0,1,0,13,False,Ninguna,LED,44.9,Invierno,11.2,248.93,False,12,0.16,39.83,29.08,Eficiente
81,Departamento,79.9,1,1,52.0,Good,E,False,1,True,19.5,821.62,0,1,2,3,1,0,12,False,Ninguna,Incandescente,63.7,Invierno,8.5,699.47,False,12,0.203,141.99,87.37,Ineficiente
82,Casa,127.8,4,1,50.0,Good,E,False,3,True,20.5,627.09,1,2,1,3,1,0,9,False,Ninguna,LED,68.6,Verano,34.1,516.99,True,18,0.16,82.72,105.28,Ineficiente
83,Casa,93.4,4,1,36.0,Poor,B,False,6,True,15.3,1931.69,1,2,5,7,1,1,21,True,Gas,Incandescente,78.4,Invierno,7.7,987.05,True,18,0.17,167.8,85.47,Ineficiente
84,Casa,121.5,3,1,17.0,Excellent,A,False,1,False,11.6,2150.79,1,1,1,0,1,0,7,False,Ninguna,Mixta,61.0,Primavera,23.5,191.72,False,11,0.19,36.43,35.12,Eficiente
85,Departamento,54.6,1,1,32.0,Good,A,False,1,False,8.0,614.26,1,1,1,2,1,0,10,False,Ninguna,Mixta,76.3,Verano,26.6,225.98,False,19,0.204,46.1,39.23,Eficiente
86,Departamento,58.3,3,2,27.0,Poor,A,False,5,False,12.6,702.36,1,2,3,6,1,0,18,True,Eléctrica,Mixta,73.8,Otoño,17.8,434.4,True,20,0.185,80.36,39.15,Eficiente
87,Departamento,72.2,4,1,30.0,Poor,C,False,2,True,21.4,2081.59,0,1,5,2,1,0,11,True,Eléctrica,Incandescente,50.2,Invierno,10.3,824.81,True,18,0.161,132.79,131.63,Ineficiente
88,Casa,121.8,4,2,47.0,Poor,A,False,4,False,11.5,1390.82,0,1,6,3,1,0,18,False,Ninguna,Mixta,30.2,Otoño,17.3,559.33,False,15,0.147,82.22,51.25,Moderado
89,Pequeño Comercio,65.5,1,1,15.0,Good,E,False,1,False,18.0,1341.77,1,2,0,2,0,0,13,True,Eléctrica,Incandescente,,Primavera,23.6,529.18,False,9,0.165,87.31,51.81,Moderado
90,Departamento,41.3,1,2,30.0,Good,C,False,1,False,20.0,1393.2,1,1,1,0,1,0,11,True,Eléctrica,LED,54.2,Otoño,16.2,240.71,False,12,0.167,40.2,32.24,Eficiente
91,Casa,158.4,5,1,41.0,Poor,E,False,6,False,12.0,1650.66,1,2,11,2,1,0,23,True,Gas,Incandescente,58.5,Verano,30.1,1047.93,False,10,0.182,190.72,63.19,Moderado
92,Casa,137.2,1,1,7.0,Good,B,True,1,True,18.5,1893.68,3,1,0,2,1,0,11,True,Eléctrica,LED,,Otoño,14.7,246.02,True,16,0.147,36.16,40.58,Eficiente
93,Pequeño Comercio,107.3,4,1,11.0,Good,A,False,8,False,9.6,1289.82,1,2,4,2,0,0,15,False,Ninguna,Mixta,83.1,Primavera,20.2,404.97,True,18,0.205,83.02,47.36,Moderado
94,Casa,198.1,2,3,5.0,Excellent,B,False,1,True,18.3,973.01,4,1,0,3,1,0,15,False,Ninguna,LED,,Verano,27.7,650.55,True,16,0.199,129.46,77.46,Ineficiente
95,Casa,136.9,5,4,50.0,Average,C,False,4,True,15.7,1189.8,0,1,1,3,1,0,14,False,Ninguna,Mixta,43.8,Verano,27.7,572.58,True,17,0.197,112.8,70.86,Ineficiente
96,Departamento,94.4,1,1,12.0,Excellent,A,False,1,True,21.9,1037.25,1,1,0,3,1,0,10,True,Eléctrica,Mixta,74.6,Invierno,6.9,575.82,False,15,0.174,100.19,91.18,Ineficiente
97,Pequeño Comercio,58.8,4,2,30.0,Good,E,False,8,False,9.8,587.89,0,2,5,5,0,0,18,True,Eléctrica,Mixta,,Invierno,10.1,504.06,True,17,0.162,81.66,45.33,Moderado
98,Departamento,84.7,6,3,35.0,Good,D,False,5,False,10.2,1117.44,0,1,4,3,1,0,15,False,Ninguna,Mixta,53.5,Verano,26.2,352.06,True,16,0.191,67.24,37.4,Eficiente
99,Casa,55.9,2,1,45.0,Poor,A,False,2,True,21.6,2243.32,1,1,0,4,1,0,11,True,Gas,LED,74.0,Otoño,20.6,428.31,True,20,0.191,81.81,64.43,Moderado
100,Departamento,38.4,1,1,66.0,Average,E,False,2,False,16.6,1102.83,0,1,1,1,1,0,7,True,Gas,Mixta,39.2,Primavera,17.6,256.28,True,19,0.215,55.1,62.13,Moderado
101,Casa,98.1,1,1,9.0,Good,B,False,1,True,17.7,1290.31,1,1,0,3,1,0,10,True,Eléctrica,Mixta,95.9,Primavera,29.9,314.75,False,17,0.176,55.4,53.47,Moderado
102,Casa,104.5,4,4,16.0,Good,A,False,8,True,19.9,1316.89,2,1,4,6,1,0,18,True,Eléctrica,Mixta,73.3,Otoño,12.7,939.19,False,7,0.201,188.78,63.46,Moderado
103,Casa,205.6,8,4,63.0,Poor,E,False,7,False,13.6,2728.89,4,2,8,4,1,0,29,True,Gas,LED,49.5,Invierno,4.4,670.09,False,18,0.143,95.82,38.5,Eficiente
104,Departamento,83.9,2,1,18.0,Excellent,E,False,2,False,13.5,,0,2,2,0,1,0,9,True,Eléctrica,LED,73.3,Otoño,18.1,266.35,True,19,0.195,51.94,51.39,Moderado
105,Casa,126.4,2,1,13.0,Average,B,False,2,True,,3435.73,2,1,1,4,1,0,17,True,Eléctrica,Mixta,77.3,Verano,27.8,1235.75,True,17,0.188,232.32,120.22,Ineficiente
106,Casa,113.9,4,4,26.0,Good,E,True,1,True,20.2,1963.73,1,1,1,1,1,0,13,True,Eléctrica,Mixta,,Verano,27.4,519.57,True,21,0.153,79.49,74.51,Ineficiente
107,Casa,170.7,6,2,41.0,Good,C,False,8,False,15.2,1979.81,4,1,7,4,1,0,22,True,Gas,LED,46.5,Primavera,18.5,748.66,False,12,0.151,113.05,52.42,Moderado
108,Casa,118.5,2,1,35.0,Good,E,False,3,False,18.2,1511.54,1,2,2,2,1,0,17,False,Ninguna,Mixta,63.7,Verano,25.1,577.93,False,10,0.19,109.81,49.62,Moderado
109,Casa,155.8,3,1,46.0,Poor,A,False,1,False,13.6,1561.24,0,2,1,0,1,0,10,True,Gas,Mixta,57.3,Primavera,20.9,312.19,False,15,0.192,59.94,47.97,Moderado
110,Departamento,86.6,1,1,40.0,Poor,C,False,1,False,13.4,,3,1,0,3,1,1,11,True,Gas,Mixta,73.8,Invierno,11.3,307.41,True,19,0.195,59.94,52.92,Moderado
111,Casa,138.0,7,5,25.0,Excellent,D,False,5,True,20.7,2001.61,0,1,2,2,1,1,12,True,Eléctrica,Incandescente,69.6,Invierno,9.6,1631.56,True,20,0.21,342.63,247.32,Ineficiente
112,Departamento,92.1,5,2,14.0,Average,A,False,7,False,11.2,1174.21,0,2,6,5,1,0,19,True,Eléctrica,Mixta,66.7,Verano,31.0,478.13,False,9,0.219,104.71,36.5,Eficiente
113,Departamento,80.9,1,1,37.0,Average,C,False,1,True,,2065.87,0,1,0,2,1,0,10,True,Gas,LED,63.4,Otoño,15.4,177.13,False,12,0.199,35.25,29.62,Eficiente
114,Pequeño Comercio,103.6,1,1,63.0,Average,E,False,1,False,8.5,1613.77,0,2,0,0,0,0,7,True,Gas,Incandescente,54.0,Invierno,7.1,221.31,False,17,0.168,37.18,57.01,Moderado
115,Casa,112.6,1,1,41.0,Poor,E,False,2,True,19.0,714.8,0,1,1,2,1,0,9,True,Gas,Mixta,60.4,Otoño,13.0,494.64,True,16,0.191,94.48,90.79,Ineficiente
116,Casa,85.1,4,1,36.0,Poor,D,False,2,False,11.5,2474.91,1,1,2,1,1,0,12,True,Gas,Mixta,70.7,Otoño,17.9,310.41,False,12,0.179,55.56,39.33,Eficiente
117,Casa,91.7,2,3,42.0,Poor,A,False,1,False,12.6,940.8,0,1,0,1,1,0,8,True,Gas,LED,53.2,Primavera,22.9,197.33,False,11,0.177,34.93,34.75,Eficiente
118,Casa,96.5,5,4,30.0,Good,B,False,6,True,17.4,1021.1,0,1,2,3,1,0,10,True,Eléctrica,Mixta,48.3,Primavera,14.6,787.32,False,7,0.208,163.76,99.17,Ineficiente
119,Departamento,134.6,2,1,32.0,Average,C,False,1,False,8.7,5123.52,2,1,1,0,1,1,13,True,Gas,Mixta,73.2,Primavera,24.7,208.78,True,18,0.131,27.35,26.41,Eficiente
120,Casa,160.5,3,1,29.0,Good,D,False,3,False,12.5,1266.65,0,1,1,1,1,0,12,True,Eléctrica,Mixta,61.8,Verano,32.7,403.8,False,5,0.181,73.09,42.28,Eficiente
121,Casa,118.9,1,1,,Excellent,B,False,1,True,21.5,,2,1,1,1,1,1,8,True,Eléctrica,Mixta,74.6,Otoño,15.5,491.87,True,18,0.177,87.06,111.8,Ineficiente
122,Casa,59.5,1,1,15.0,Poor,A,True,1,False,15.0,608.45,1,2,1,1,1,0,12,True,Eléctrica,LED,77.3,Verano,28.8,232.26,False,17,0.172,39.95,31.41,Eficiente
123,Departamento,85.6,1,1,,Good,C,False,1,False,12.6,1488.34,1,1,0,1,1,0,8,True,Eléctrica,LED,50.3,Verano,26.6,289.7,True,19,0.214,62.0,60.44,Moderado
124,Departamento,73.2,2,2,41.0,Poor,A,False,1,False,8.0,1557.35,0,1,1,0,1,0,7,False,Ninguna,Mixta,56.1,Primavera,21.1,106.07,True,16,0.182,19.3,22.74,Eficiente
125,Casa,142.7,2,1,,Poor,A,False,1,True,17.8,1214.69,0,2,3,1,1,0,10,False,Ninguna,Mixta,51.6,Primavera,23.9,483.6,True,13,0.196,94.79,80.1,Ineficiente
126,Casa,130.0,2,1,37.0,Average,B,False,1,True,20.6,5337.8,3,1,0,2,1,1,14,True,Gas,LED,64.7,Verano,27.4,769.81,True,18,0.158,121.63,96.6,Ineficiente
127,Casa,169.5,7,2,57.0,Average,E,False,7,True,18.7,2729.52,0,2,3,5,1,0,18,False,Ninguna,Incandescente,45.1,Invierno,8.7,1160.02,False,15,0.176,204.16,105.7,Ineficiente
128,Departamento,67.1,4,2,20.0,Excellent,E,False,4,False,13.1,,2,1,2,3,1,0,14,False,Ninguna,Incandescente,62.6,Verano,27.4,662.77,False,18,0.191,126.59,82.42,Ineficiente
129,Casa,82.1,2,2,47.0,Poor,C,False,3,False,15.4,1657.07,0,2,2,5,1,0,14,True,Gas,Incandescente,67.3,Primavera,22.7,657.49,True,19,0.187,122.95,85.03,Ineficiente
130,Departamento,49.2,1,1,21.0,Good,E,False,1,True,19.6,1292.92,0,1,1,3,1,0,16,True,Eléctrica,Mixta,78.7,Primavera,22.3,528.56,False,16,0.162,85.63,52.76,Moderado
