tipo_vivienda,cantidad_equipos,horas_alto_consumo,consumo_kwh,categoria
Casa,16,20,665.21,Moderate
Casa,10,21,2013.9549570887584,Inefficient
Departamento,5,17,159.65,Efficient
Casa,14,16,1027.09,Inefficient
Departamento,6,19,560.28,Inefficient
Casa,14,17,545.83,Efficient
Departamento,7,16,299.0,Inefficient
Casa,6,18,248.27,Moderate
Departamento,6,19,452.27,Moderate
Casa,5,17,238.83,Moderate
Departamento,2,16,232.14,Inefficient
Casa,15,18,554.25,Efficient
Casa,19,16,734.11,Moderate
Departamento,3,13,69.39,Efficient
Casa,6,15,288.03,Moderate
Departamento,3,18,239.64,Moderate
Casa,19,18,990.42,Moderate
Departamento,6,20,168.73,Efficient
Casa,10,19,298.47,Moderate
Departamento,7,20,402.06,Inefficient
Casa,6,19,293.56,Efficient
Casa,4,20,232.47,Moderate
Casa,15,19,773.24,Moderate
Departamento,5,13,203.56,Moderate
Casa,5,18,812.12,Moderate
Casa,5,19,323.37,Inefficient
Casa,7,19,361.41,Efficient
Departamento,11,19,265.19,Efficient
Casa,5,13,310.8,Moderate
Casa,6,17,404.96,Efficient
Pequeño Comercio,11,19,352.64,Efficient
Casa,7,17,696.69,Inefficient
Pequeño Comercio,16,18,713.53,Efficient
Casa,9,16,795.02,Inefficient
Casa,16,21,811.55,Efficient
Casa,10,15,370.5,Inefficient
Departamento,2,19,288.48,Inefficient
Casa,10,22,558.85,Moderate
Departamento,6,16,339.57,Efficient
Casa,5,17,476.97,Efficient
Departamento,7,19,2316.9712170045755,Moderate
Casa,8,19,306.75,Moderate
Departamento,12,16,591.34,Efficient
Casa,9,21,944.19,Inefficient
Departamento,14,14,469.63,Moderate
Departamento,6,17,151.03,Efficient
Departamento,7,20,272.91,Efficient
Departamento,3,18,237.18,Inefficient
Casa,15,19,1173.04,Efficient
Casa,4,22,709.49,Inefficient
Departamento,8,18,378.84,Moderate
Departamento,7,17,452.0,Moderate
Casa,4,20,403.06,Inefficient
Casa,7,19,544.62,Inefficient
Casa,5,18,226.5,Efficient
Departamento,4,19,753.08,Inefficient
Departamento,5,15,418.42,Inefficient
Departamento,4,21,387.48,Efficient
Departamento,9,20,879.3,Inefficient
Departamento,5,18,906.33,Inefficient
Casa,8,18,769.22,Moderate
Casa,5,19,423.48,Inefficient
Casa,6,21,528.5,Moderate
Departamento,9,19,758.76,Inefficient
Casa,18,19,1409.79,Efficient
Casa,15,15,1250.7,Moderate
Casa,12,20,589.09,Efficient
Casa,9,19,935.7,Inefficient
Casa,4,19,210.6,Efficient
Departamento,10,17,519.44,Efficient
Departamento,8,18,243.49,Moderate
Casa,6,19,472.35,Moderate
Departamento,6,19,269.79,Efficient
Departamento,4,19,186.64,Inefficient
Departamento,7,19,193.44,Efficient
Casa,13,18,347.07,Efficient
Casa,5,23,207.8,Moderate
Departamento,6,19,404.31,Moderate
Casa,5,19,278.6,Moderate
Casa,13,17,372.33,Moderate
Casa,18,19,963.73,Moderate
Departamento,6,19,437.86,Inefficient
Departamento,15,23,672.33,Inefficient
Casa,11,19,436.48,Moderate
Departamento,7,20,977.14,Moderate
Departamento,9,20,905.88,Inefficient
Casa,16,16,1138.77,Moderate
Casa,4,19,268.41,Moderate
Departamento,4,20,132.07,Efficient
Departamento,5,20,558.4,Moderate
Casa,10,18,612.47,Moderate
Departamento,6,17,395.09,Inefficient
Departamento,8,17,445.62,Moderate
Casa,7,20,845.2,Moderate
Casa,16,22,655.62,Efficient
Departamento,4,18,218.14,Moderate
Departamento,11,21,532.88,Moderate
Casa,13,16,902.99,Efficient
Casa,16,18,607.24,Moderate
Casa,4,19,204.87,Efficient
Departamento,6,18,470.07,Moderate
Departamento,5,18,854.18,Inefficient
Departamento,4,21,205.6,Inefficient
Departamento,8,21,279.2,Efficient
Casa,7,23,407.68,Efficient
Departamento,4,21,489.96,Inefficient
Departamento,5,17,457.4,Inefficient
Casa,5,19,313.55,Inefficient
Departamento,6,22,371.11,Moderate
Casa,6,18,203.34,Efficient
Departamento,4,19,369.03,Inefficient
Departamento,6,22,154.2,Efficient
Casa,7,22,484.71,Efficient
Casa,3,19,264.62,Efficient
Departamento,11,17,376.82,Efficient
Pequeño Comercio,5,20,160.95,Efficient
Casa,5,18,315.16,Inefficient
Casa,16,17,686.1,Moderate
Departamento,4,19,189.88,Efficient
Casa,11,18,542.77,Moderate
Departamento,8,18,175.52,Moderate
Departamento,5,16,565.69,Moderate
Casa,10,14,498.31,Moderate
Casa,11,19,388.66,Moderate
Casa,13,21,429.6,Efficient
Casa,8,20,334.51,Inefficient
Casa,13,19,612.55,Efficient
Casa,4,21,260.32,Efficient
Casa,14,20,436.16,Efficient
Casa,17,20,1168.09,Moderate
Departamento,8,18,1248.07,Moderate
Casa,8,20,378.11,Moderate
Casa,8,17,480.42,Moderate
Pequeño Comercio,6,21,236.54,Inefficient
Casa,7,19,387.38,Moderate
Departamento,5,20,209.82,Moderate
Casa,4,16,161.83,Efficient
Casa,11,19,773.1,Efficient
Departamento,4,21,648.55,Moderate
Casa,5,22,288.41,Efficient
Departamento,7,18,527.36,Inefficient
Casa,6,18,575.94,Inefficient
Casa,11,20,424.64,Efficient
Casa,9,20,967.05,Inefficient
Departamento,5,20,393.97,Moderate
Pequeño Comercio,21,20,459.04,Efficient
Casa,14,16,735.51,Moderate
Departamento,9,19,274.51,Moderate
Casa,7,19,412.85,Moderate
Departamento,14,20,1108.11,Moderate
Casa,14,19,699.81,Efficient
Casa,9,16,934.44,Moderate
Casa,8,19,546.09,Efficient
Casa,6,20,258.75,Moderate
Departamento,5,21,620.07,Moderate
Departamento,3,18,360.42,Inefficient
Casa,7,18,423.24,Efficient
Casa,6,17,150.13,Efficient
Departamento,11,19,529.64,Moderate
Departamento,14,18,713.26,Moderate
Pequeño Comercio,6,21,337.33,Moderate
Casa,7,16,627.27,Inefficient
Casa,5,17,193.8,Inefficient
Casa,13,19,500.88,Inefficient
Pequeño Comercio,8,18,313.52,Efficient
Casa,13,16,961.22,Moderate
Casa,4,15,155.17,Moderate
Casa,11,18,1060.95,Moderate
Casa,5,19,219.59,Moderate
Casa,15,17,790.87,Inefficient
Casa,5,16,230.91,Inefficient
Casa,13,20,512.54,Moderate
Departamento,2,18,131.13,Efficient
Casa,4,15,333.54,Inefficient
Casa,8,19,645.44,Moderate
Casa,21,20,559.91,Inefficient
Casa,13,17,732.72,Moderate
Departamento,6,19,178.31,Efficient
Departamento,11,18,163.52,Efficient
Casa,15,17,1560.82,Moderate
Casa,11,20,724.71,Efficient
Departamento,5,17,222.88,Inefficient
Casa,14,21,864.78,Inefficient
Departamento,8,16,489.14,Moderate
Casa,14,19,200.15,Efficient
Casa,15,20,630.55,Inefficient
Casa,9,20,589.43,Efficient
Casa,6,16,399.1,Inefficient
Departamento,4,16,297.65,Moderate
Casa,10,19,852.76,Inefficient
Departamento,11,20,833.65,Efficient
Departamento,12,18,400.35,Inefficient
Casa,7,20,320.26,Inefficient
Casa,13,18,527.05,Moderate
Casa,9,17,547.42,Moderate
Pequeño Comercio,3,20,183.49,Efficient
Casa,7,20,525.97,Moderate
Casa,5,21,266.99,Efficient
Departamento,6,18,205.36,Efficient
Departamento,6,22,196.54,Moderate
Pequeño Comercio,9,19,341.83,Moderate
Departamento,7,21,913.89,Inefficient
Casa,10,21,902.49,Moderate
Departamento,4,17,268.39,Moderate
Departamento,7,19,252.91,Efficient
Casa,19,21,918.99,Moderate
Departamento,5,19,124.37,Moderate
Casa,6,18,264.8,Moderate
Casa,8,17,332.58,Moderate
Pequeño Comercio,15,18,777.64,Efficient
Casa,4,18,282.29,Moderate
Casa,10,19,481.39,Efficient
Casa,6,18,332.83,Efficient
Casa,5,18,228.4,Moderate
Casa,7,17,427.19,Moderate
Pequeño Comercio,13,17,430.03,Inefficient
Casa,8,16,551.19,Moderate
Departamento,4,19,403.79,Efficient
Casa,11,23,404.28,Moderate
Casa,8,18,358.73,Inefficient
Casa,10,20,1427.72,Inefficient
Casa,19,17,319.74,Efficient
Casa,12,22,327.29,Moderate
Casa,19,16,934.87,Efficient
Casa,7,17,347.68,Efficient
Casa,3,18,157.45,Moderate
Casa,5,19,409.46,Inefficient
Casa,5,19,569.65,Inefficient
Casa,4,18,149.69,Moderate
Casa,11,14,378.26,Efficient
Casa,18,22,315.19,Moderate
Departamento,6,20,239.79,Efficient
Casa,4,20,135.37,Moderate
Casa,4,16,470.71,Efficient
Casa,14,22,347.66,Moderate
Casa,16,19,978.11,Moderate
Casa,9,17,693.62,Inefficient
Casa,16,18,717.69,Efficient
Casa,8,19,408.18,Efficient
Pequeño Comercio,3,15,230.94,Inefficient
Departamento,3,17,319.89,Moderate
Departamento,8,19,315.02,Moderate
Casa,7,20,238.08,Efficient
Casa,12,21,809.13,Moderate
Casa,14,20,581.63,Moderate
Departamento,13,20,642.76,Inefficient
Departamento,3,18,240.33,Efficient
Departamento,2,18,620.66,Inefficient
Casa,5,16,131.99,Efficient
Departamento,7,18,292.07,Inefficient
Casa,9,21,396.74,Efficient
Departamento,10,20,376.7,Efficient
Casa,13,21,898.76,Efficient
Departamento,9,20,691.12,Inefficient
Casa,8,17,1070.11,Inefficient
Casa,12,19,1219.48,Moderate
Casa,13,18,564.25,Efficient
Departamento,3,18,241.34,Efficient
Departamento,18,17,627.24,Efficient
Casa,9,19,495.65,Inefficient
Casa,9,17,377.41,Moderate
Pequeño Comercio,2,22,76.93,Moderate
Departamento,6,18,246.0,Efficient
Casa,9,17,884.8,Moderate
Departamento,6,14,748.96,Inefficient
Casa,6,20,395.11,Inefficient
Departamento,16,16,1098.17,Efficient
Departamento,7,18,301.7,Inefficient
Departamento,4,19,119.35,Efficient
Casa,16,21,337.63,Efficient
Casa,5,16,387.59,Efficient
Casa,8,17,237.02,Moderate
Casa,8,13,283.96,Moderate
Casa,18,15,827.17,Moderate
Departamento,8,21,277.59,Moderate
Casa,19,19,490.58,Efficient
Casa,6,15,211.32,Moderate
Casa,7,18,279.94,Efficient
Departamento,8,18,626.69,Moderate
Departamento,6,16,445.14,Efficient
Casa,20,18,446.82,Efficient
Casa,4,21,204.32,Inefficient
Departamento,9,18,296.07,Inefficient
Departamento,9,21,561.65,Inefficient
Departamento,7,16,571.35,Inefficient
Departamento,4,21,461.27,Moderate
Casa,6,19,482.16,Inefficient
Casa,8,21,279.04,Efficient
Departamento,5,15,337.85,Inefficient
Departamento,9,22,344.1,Efficient
Departamento,11,21,332.66,Moderate
Departamento,8,22,1000.08,Efficient
Departamento,2,17,107.44,Inefficient
Departamento,4,18,167.54,Efficient
Departamento,12,19,840.3,Inefficient
Departamento,6,21,622.03,Moderate
Casa,8,18,488.03,Inefficient
Departamento,6,18,181.43,Efficient
Departamento,4,22,294.55,Moderate
Pequeño Comercio,4,20,490.26,Inefficient
Casa,12,17,617.85,Inefficient
Departamento,11,17,789.47,Moderate
Departamento,3,17,151.18,Moderate
Pequeño Comercio,17,16,693.55,Efficient
Casa,21,19,981.38,Efficient
Pequeño Comercio,18,23,571.24,Moderate
Departamento,7,21,888.3198341924351,Efficient
Casa,6,21,454.19,Efficient
Departamento,5,19,191.58,Moderate
Departamento,6,20,239.62,Moderate
Departamento,5,19,474.1,Inefficient
Departamento,3,18,102.49,Efficient
Departamento,18,19,978.58,Inefficient
Casa,11,22,667.76,Moderate
Departamento,2,19,164.32,Moderate
Casa,17,15,465.3,Efficient
Casa,21,22,846.36,Moderate
Casa,6,19,819.45,Moderate
Casa,8,23,90.7,Moderate
Departamento,7,20,620.36,Moderate
Casa,5,21,293.58,Efficient
Casa,8,23,1082.47,Inefficient
Casa,10,17,1208.61,Inefficient
Departamento,10,19,520.03,Moderate
Casa,11,15,1544.840236438111,Efficient
Casa,2,21,135.0,Moderate
Departamento,9,17,1002.11,Inefficient
Departamento,5,17,395.91,Inefficient
Casa,14,20,578.72,Efficient
Pequeño Comercio,7,16,379.67,Efficient
Casa,10,19,170.58,Efficient
Departamento,4,18,101.95,Efficient
Casa,8,21,558.65,Efficient
Pequeño Comercio,3,18,167.53,Efficient
Departamento,4,21,343.4,Moderate
Departamento,7,19,232.24,Efficient
Departamento,9,21,345.73,Efficient
Departamento,4,19,265.66,Moderate
Casa,8,19,494.11,Inefficient
Casa,7,20,285.43,Inefficient
Departamento,3,17,206.19,Moderate
Departamento,6,15,593.7,Inefficient
Departamento,5,17,92.03,Moderate
Casa,12,19,763.85,Efficient
Casa,12,21,795.67,Moderate
Departamento,10,16,256.51,Moderate
Departamento,6,20,285.28,Efficient
Departamento,5,18,346.64,Inefficient
Departamento,4,17,80.9,Moderate
Casa,4,20,289.4,Moderate
Departamento,8,21,605.47,Moderate
Casa,11,20,259.1,Moderate
Casa,5,19,329.68,Inefficient
Pequeño Comercio,13,16,743.71,Efficient
Departamento,5,19,280.07,Inefficient
Casa,19,15,382.09,Efficient
Departamento,9,19,377.43,Moderate
Departamento,7,20,414.61,Efficient
Departamento,9,23,573.85,Moderate
Casa,6,17,493.45,Efficient
Casa,5,21,423.17,Moderate
Departamento,5,21,124.44,Efficient
Casa,7,17,520.85,Efficient
Casa,14,20,687.83,Moderate
Casa,7,21,308.86,Inefficient
Departamento,7,16,519.42,Inefficient
Departamento,7,19,195.05,Moderate
Casa,8,19,500.3,Inefficient
Casa,12,22,701.99,Inefficient
Departamento,4,16,159.47,Moderate
Departamento,7,17,213.55,Inefficient
Casa,7,20,399.2,Efficient
Departamento,6,19,272.8,Inefficient
Departamento,4,19,318.64,Efficient
Departamento,9,19,469.98,Moderate
Casa,4,20,304.55,Inefficient
Casa,11,18,428.2,Inefficient
Casa,4,17,548.77,Efficient
Casa,13,19,514.83,Efficient
Departamento,5,23,240.41,Moderate
Casa,10,19,452.12,Moderate
Departamento,4,18,156.62,Moderate
Departamento,10,17,537.75,Inefficient
Casa,8,22,355.92,Efficient
Casa,8,18,543.78,Inefficient
Casa,15,16,816.89,Moderate
Departamento,5,18,248.36,Moderate
Casa,9,17,296.97,Moderate
Casa,15,16,307.63,Moderate
Departamento,8,22,165.69,Efficient
Departamento,11,19,447.89,Efficient
Departamento,5,12,236.54,Inefficient
Casa,4,15,347.29,Efficient
Casa,4,17,155.63,Moderate
Departamento,8,19,607.83,Moderate
Departamento,6,19,238.51,Efficient
Casa,12,18,322.94,Moderate
Departamento,14,17,218.35,Moderate
Casa,4,23,452.62,Moderate
Casa,5,21,367.14,Moderate
Casa,7,20,292.6,Efficient
Departamento,5,19,561.46,Moderate
Casa,5,21,335.06,Inefficient
Casa,13,20,1010.23,Efficient
Casa,9,18,829.59,Efficient
Casa,6,15,285.54,Moderate
Casa,10,19,450.09,Efficient
Casa,7,18,337.87,Moderate
Departamento,9,19,185.33,Moderate
Departamento,3,16,172.38,Efficient
Casa,9,19,576.39,Moderate
Departamento,6,16,247.98,Efficient
Casa,5,18,290.48,Moderate
Casa,9,21,799.49,Moderate
Pequeño Comercio,8,21,706.12,Moderate
Casa,17,19,738.65,Moderate
Departamento,6,17,310.74,Moderate
Casa,12,16,1068.95,Moderate
Departamento,2,19,194.69,Moderate
Departamento,6,18,168.86,Moderate
Departamento,11,19,637.8,Inefficient
Casa,7,18,515.51,Inefficient
Casa,8,20,403.95,Efficient
Departamento,8,19,374.38,Moderate
Casa,10,19,613.6,Efficient
Casa,8,17,493.77,Moderate
Departamento,6,20,175.45,Efficient
Casa,13,22,530.64,Moderate
Casa,3,16,424.91,Inefficient
Casa,9,17,312.55,Moderate
Casa,8,19,585.24,Efficient
Casa,4,20,352.4,Inefficient
Departamento,7,17,797.66,Moderate
Casa,4,19,429.1,Inefficient
Departamento,6,21,330.72,Inefficient
Casa,11,16,269.98,Efficient
Casa,11,16,1054.94,Moderate
Departamento,7,17,644.1,Moderate
Departamento,5,20,288.15,Moderate
Departamento,6,19,285.93,Moderate
Casa,9,19,977.49,Moderate
Departamento,7,19,373.2,Efficient
Departamento,2,18,108.57,Moderate
Departamento,7,20,221.54,Efficient
Casa,9,16,359.88,Moderate
Casa,16,18,478.9,Moderate
Departamento,4,20,201.53,Efficient
Departamento,15,16,663.42,Efficient
Casa,5,19,111.4,Efficient
Casa,5,17,235.06,Efficient
Casa,11,15,538.78,Moderate
Departamento,8,19,349.71,Inefficient
Departamento,5,16,207.97,Moderate
Departamento,2,23,92.07,Efficient
Casa,19,21,321.6,Efficient
Departamento,6,18,218.37,Moderate
Casa,4,20,194.24,Efficient
Departamento,4,19,362.98,Moderate
Departamento,4,16,215.65,Efficient
Casa,9,20,317.62,Moderate
Casa,7,15,864.56,Inefficient
Casa,3,17,437.03,Moderate
Departamento,11,19,485.37,Efficient
Departamento,6,18,604.02,Efficient
Departamento,5,17,263.65,Efficient
Departamento,3,20,127.5,Moderate
Departamento,5,15,178.16,Moderate
Departamento,6,22,344.09,Inefficient
Casa,13,15,624.34,Moderate
Casa,18,15,663.18,Efficient
Casa,7,18,191.83,Moderate
Departamento,7,20,431.46,Inefficient
Departamento,12,19,725.23,Moderate
Casa,7,18,208.56,Moderate
Departamento,11,19,341.95,Efficient
Casa,2,22,256.7,Moderate
Departamento,14,18,706.36,Moderate
Departamento,3,19,164.99,Inefficient
Departamento,6,19,258.36,Moderate
Departamento,4,19,120.0,Moderate
Casa,14,19,1311.64,Inefficient
Casa,6,20,522.87,Moderate
Casa,9,18,712.84,Moderate
Departamento,7,15,274.75,Efficient
Casa,4,17,649.06,Inefficient
Departamento,13,18,396.96,Moderate
Casa,10,21,794.2,Moderate
Casa,9,15,494.46,Moderate
Casa,9,19,1516.28,Inefficient
Casa,10,18,418.89,Efficient
Casa,5,19,333.91,Moderate
Departamento,3,18,367.91,Inefficient
Departamento,9,18,423.96,Moderate
Casa,13,18,327.87,Efficient
Pequeño Comercio,5,21,221.11,Efficient
Departamento,9,20,417.97,Inefficient
Casa,7,19,781.56,Inefficient
Casa,14,16,570.38,Moderate
Casa,5,18,319.67,Efficient
Casa,7,17,679.5,Moderate
Departamento,5,17,590.58,Inefficient
Departamento,3,16,279.36,Moderate
Departamento,5,17,183.26,Moderate
Casa,7,19,1159.06,Inefficient
Casa,6,20,628.77,Inefficient
Casa,3,16,203.08,Inefficient
Casa,10,18,206.26,Efficient
Casa,5,21,333.25,Efficient
Casa,14,16,492.77,Moderate
Casa,13,19,630.06,Moderate
Casa,5,17,162.89,Moderate
Casa,5,18,241.88,Inefficient
Casa,8,20,173.98,Moderate
Casa,7,19,453.35,Inefficient
Departamento,6,16,413.02,Moderate
Departamento,10,19,405.61,Efficient
Casa,15,20,691.13,Efficient
Departamento,12,16,301.9,Efficient
Casa,5,19,134.9,Efficient
Casa,18,18,1925.46,Moderate
Casa,8,22,251.83,Moderate
Casa,5,18,456.6,Efficient
Casa,5,19,357.16,Moderate
Departamento,4,17,129.1,Efficient
Casa,12,18,1701.4,Moderate
Departamento,7,17,181.7,Efficient
Casa,8,18,545.99,Moderate
Casa,11,17,296.32,Efficient
Departamento,7,21,432.73,Inefficient
Casa,8,19,582.93,Moderate
Casa,3,18,163.92,Efficient
Pequeño Comercio,7,19,628.96,Inefficient
Departamento,12,18,469.22,Efficient
Casa,9,20,258.82,Moderate
Departamento,14,15,455.03,Moderate
Departamento,8,19,686.41,Moderate
Casa,16,18,526.74,Moderate
Casa,4,16,231.63,Inefficient
Departamento,7,17,766.79,Inefficient
Casa,12,19,621.43,Moderate
Pequeño Comercio,2,17,154.24,Efficient
Departamento,7,17,475.07,Efficient
Departamento,3,20,268.41,Moderate
Casa,16,19,501.8,Moderate
Casa,12,20,566.85,Moderate
Casa,14,19,595.52,Moderate
Departamento,11,19,523.04,Inefficient
Casa,17,20,1738.92,Moderate
Departamento,5,18,244.02,Efficient
Casa,11,18,457.63,Inefficient
Departamento,11,16,494.66,Inefficient
Casa,8,19,547.51,Efficient
Casa,9,17,411.35,Efficient
Casa,2,21,264.38,Inefficient
Departamento,8,19,284.98,Inefficient
Casa,7,18,471.18,Inefficient
Departamento,5,18,272.57,Efficient
Casa,8,16,1193.23,Inefficient
Departamento,5,21,552.39,Inefficient
Departamento,4,19,347.19,Moderate
Departamento,5,17,303.64,Inefficient
Departamento,5,19,190.99,Moderate
Departamento,4,19,385.83,Inefficient
Casa,11,16,491.0,Moderate
Departamento,6,18,376.76,Inefficient
Casa,7,19,268.75,Inefficient
Casa,9,19,707.59,Moderate
Departamento,4,20,320.29,Inefficient
Casa,6,18,183.73,Inefficient
Pequeño Comercio,4,22,162.18,Efficient
Departamento,5,21,579.24,Inefficient
Casa,4,19,285.54,Moderate
Casa,6,17,456.43,Moderate
Casa,6,20,858.63,Inefficient
Casa,4,18,412.29,Moderate
Departamento,5,17,575.65,Moderate
Casa,8,18,304.81,Moderate
Casa,5,20,195.48,Moderate
Departamento,11,19,546.16,Moderate
Departamento,6,15,421.69,Inefficient
Departamento,13,19,1019.34,Inefficient
Departamento,5,17,503.96,Inefficient
Casa,6,22,294.99,Moderate
Casa,12,19,950.09,Inefficient
Departamento,6,21,431.12,Inefficient
Casa,10,18,669.58,Inefficient
Casa,4,19,409.03,Moderate
Departamento,14,19,508.4,Moderate
Casa,6,19,312.04,Efficient
Departamento,17,20,788.2,Moderate
Departamento,10,21,1247.8,Inefficient
Casa,11,17,481.7,Moderate
Casa,7,20,459.21,Inefficient
Casa,15,16,551.98,Efficient
Departamento,3,18,190.1,Inefficient
Casa,12,20,938.92,Efficient
Casa,24,17,1112.36,Efficient
Casa,3,21,409.19,Moderate
Casa,8,22,346.36,Efficient
Departamento,9,16,508.72,Moderate
Pequeño Comercio,5,18,560.5,Inefficient
Casa,12,19,371.11,Efficient
Departamento,7,17,794.48,Moderate
Casa,6,19,292.5,Efficient
Departamento,5,18,339.43,Moderate
Casa,10,21,364.81,Efficient
Casa,14,17,492.16,Efficient
Departamento,4,17,172.29,Inefficient
Casa,9,19,350.63,Efficient
Casa,4,18,656.65,Moderate
Casa,14,16,284.29,Efficient
Departamento,7,17,286.01,Efficient
Pequeño Comercio,17,18,922.97,Moderate
Departamento,6,21,294.63,Efficient
Casa,7,21,582.39,Inefficient
Departamento,7,20,254.11,Efficient
Departamento,6,19,345.2,Moderate
Casa,22,18,1997.9,Moderate
Casa,6,18,204.65,Moderate
Departamento,5,20,370.8,Moderate
Departamento,10,17,640.2,Inefficient
Casa,5,16,570.41,Inefficient
Pequeño Comercio,15,17,608.45,Efficient
Casa,19,21,710.65,Moderate
Casa,17,17,1031.06,Moderate
Departamento,10,18,243.98,Inefficient
Casa,10,20,983.49,Moderate
Pequeño Comercio,7,19,178.29,Moderate
Departamento,8,20,280.78,Efficient
Departamento,20,18,1132.92,Moderate
Casa,6,17,474.72,Inefficient
Casa,12,21,938.58,Moderate
Departamento,12,21,948.5,Moderate
Casa,7,19,574.95,Moderate
Casa,9,16,316.32,Efficient
Departamento,2,22,213.96,Efficient
Casa,12,17,298.22,Efficient
Departamento,6,18,197.21,Efficient
Departamento,17,12,436.23,Efficient
