consumo_kwh,uso_horario_pico,cantidad_equipos,tipo_inmueble,horas_alto_consumo,categoria
559.92,False,10,Casa,8.6,Moderado
671.0,True,9,Casa,7.3,Moderado
686.67,False,9,Departamento,7.5,Moderado
339.08,False,4,Departamento,3.4,Eficiente
263.67,False,4,Departamento,1.0,Eficiente
103.58,False,5,Departamento,2.2,Eficiente
1874.5,False,7,Casa,14.7,Ineficiente
570.92,False,6,Casa,8.1,Moderado
1327.42,True,12,Casa,12.3,Ineficiente
871.08,True,9,Casa,8.8,Ineficiente
450.17,False,5,Casa,4.5,Moderado
1034.17,True,9,Casa,8.4,Ineficiente
487.67,False,5,Departamento,5.9,Moderado
482.08,False,4,Departamento,5.2,Moderado
1428.67,True,6,Casa,12.1,Ineficiente
545.67,False,7,Departamento,4.8,Moderado
498.58,False,10,Departamento,7.7,Moderado
647.25,True,7,Departamento,5.0,Moderado
1137.0,False,4,Departamento,9.4,Ineficiente
391.08,False,5,Departamento,6.3,Moderado
334.17,False,7,Departamento,3.3,Eficiente
148.42,False,6,Departamento,2.2,Eficiente
2924.25,True,7,Casa,16.0,Ineficiente
262.42,False,6,Casa,3.0,Eficiente
1517.67,True,10,Casa,11.6,Ineficiente
375.08,False,5,Departamento,4.1,Moderado
842.83,False,8,Casa,7.0,Moderado
744.67,True,6,Departamento,7.2,Moderado
717.0,False,9,Casa,6.6,Moderado
1998.42,True,9,Casa,16.0,Ineficiente
586.5,False,6,Casa,4.9,Moderado
711.42,False,6,Casa,6.2,Moderado
304.83,False,6,Casa,4.6,Eficiente
2013.83,True,8,Casa,14.6,Ineficiente
2058.17,True,15,Casa,16.0,Ineficiente
489.67,True,6,Casa,6.4,Moderado
964.92,True,8,Departamento,7.2,Ineficiente
386.75,False,5,Departamento,4.3,Moderado
1054.83,False,12,Casa,10.9,Ineficiente
983.08,False,9,Casa,10.0,Ineficiente
910.67,False,7,Casa,6.9,Moderado
345.83,True,6,Departamento,2.8,Eficiente
2399.75,True,9,Casa,16.0,Ineficiente
387.25,False,7,Casa,5.0,Moderado
2338.17,True,6,Casa,16.0,Ineficiente
470.75,True,6,Departamento,5.3,Moderado
1129.92,True,15,Casa,11.4,Ineficiente
1216.5,True,11,Casa,11.6,Ineficiente
1245.25,True,7,Casa,10.7,Ineficiente
590.75,False,8,Casa,5.6,Moderado
331.42,False,5,Casa,5.6,Eficiente
1587.92,True,10,Casa,14.1,Ineficiente
149.17,True,5,Casa,1.3,Eficiente
1114.5,False,6,Departamento,9.9,Ineficiente
708.42,False,4,Casa,4.9,Moderado
802.5,False,6,Departamento,7.9,Moderado
956.75,True,10,Casa,10.5,Ineficiente
654.33,False,5,Departamento,5.0,Moderado
430.0,False,9,Casa,6.5,Moderado
1288.25,False,8,Departamento,11.4,Ineficiente
900.17,False,8,Casa,9.2,Ineficiente
282.17,False,8,Casa,6.2,Eficiente
1516.33,True,9,Casa,12.6,Ineficiente
647.5,True,6,Departamento,5.4,Moderado
1279.25,True,6,Casa,9.4,Ineficiente
1096.75,False,10,Casa,9.5,Ineficiente
271.67,False,8,Casa,4.1,Eficiente
2449.58,True,11,Casa,16.0,Ineficiente
286.42,False,6,Departamento,4.0,Eficiente
2603.92,True,8,Casa,16.0,Ineficiente
937.25,True,8,Casa,8.7,Ineficiente
1347.0,True,8,Departamento,12.8,Ineficiente
588.33,False,6,Casa,5.5,Moderado
846.33,False,16,Casa,13.2,Ineficiente
481.67,True,5,Casa,5.3,Moderado
900.42,False,8,Casa,7.5,Moderado
834.42,True,10,Casa,7.5,Ineficiente
930.17,False,5,Casa,8.2,Moderado
1044.0,True,14,Casa,10.9,Ineficiente
395.83,True,10,Casa,6.4,Moderado
433.58,False,5,Casa,4.9,Moderado
1578.67,True,7,Casa,12.6,Ineficiente
2511.92,True,11,Casa,16.0,Ineficiente
143.25,False,4,Departamento,1.0,Eficiente
180.25,True,6,Casa,2.6,Eficiente
781.75,False,4,Departamento,7.3,Moderado
1093.92,False,7,Casa,9.6,Ineficiente
1709.17,True,12,Casa,13.7,Ineficiente
582.83,True,8,Casa,6.5,Moderado
452.75,False,9,Casa,6.1,Moderado
383.42,False,4,Departamento,2.9,Eficiente
714.33,False,12,Casa,8.5,Moderado
933.0,True,5,Casa,7.8,Ineficiente
163.25,False,3,Departamento,1.0,Eficiente
925.0,True,12,Casa,10.1,Ineficiente
672.92,True,5,Casa,6.5,Moderado
1821.42,True,7,Casa,15.3,Ineficiente
276.58,False,4,Departamento,4.1,Eficiente
533.17,False,6,Departamento,4.0,Moderado
612.08,False,6,Casa,4.9,Moderado
1137.33,True,8,Casa,10.5,Ineficiente
996.92,True,7,Casa,9.3,Ineficiente
521.08,True,7,Casa,6.1,Moderado
234.83,False,5,Departamento,6.9,Eficiente
1728.5,True,11,Casa,15.4,Ineficiente
271.25,False,5,Departamento,4.4,Eficiente
1458.83,True,15,Casa,15.2,Ineficiente
1485.08,True,11,Casa,13.9,Ineficiente
467.17,False,7,Casa,4.9,Moderado
985.25,False,12,Casa,10.9,Ineficiente
1230.83,False,8,Casa,9.8,Ineficiente
164.75,False,7,Departamento,3.0,Eficiente
1084.0,False,8,Casa,9.1,Ineficiente
561.83,False,5,Departamento,5.3,Moderado
1291.83,True,13,Casa,14.8,Ineficiente
1164.5,True,11,Casa,9.2,Ineficiente
398.92,False,7,Casa,5.4,Moderado
1548.08,True,6,Casa,10.5,Ineficiente
2283.83,True,9,Casa,16.0,Ineficiente
859.75,True,9,Casa,9.5,Ineficiente
412.5,False,7,Departamento,4.9,Moderado
1178.08,True,5,Casa,8.3,Ineficiente
1061.17,True,10,Casa,9.4,Ineficiente
952.17,True,9,Casa,9.7,Ineficiente
884.25,False,6,Departamento,7.0,Moderado
1503.17,True,8,Casa,12.6,Ineficiente
766.58,False,11,Casa,8.5,Moderado
337.08,False,7,Departamento,3.7,Eficiente
208.42,False,7,Casa,5.6,Eficiente
1057.83,True,7,Casa,9.8,Ineficiente
1922.92,True,9,Casa,13.5,Ineficiente
1145.33,True,11,Casa,11.1,Ineficiente
1763.0,True,7,Casa,13.2,Ineficiente
1026.83,False,10,Casa,10.7,Ineficiente
2338.58,True,10,Casa,16.0,Ineficiente
861.08,True,6,Casa,7.4,Ineficiente
1302.92,True,10,Casa,12.2,Ineficiente
1151.67,True,10,Casa,11.5,Ineficiente
840.08,True,5,Casa,5.9,Ineficiente
844.5,True,6,Casa,7.1,Ineficiente
330.83,False,6,Departamento,3.5,Eficiente
572.25,False,6,Departamento,5.0,Moderado
629.08,True,9,Casa,8.7,Moderado
467.83,True,10,Casa,6.5,Moderado
1222.0,True,9,Casa,9.6,Ineficiente
824.92,False,4,Casa,7.6,Moderado
953.08,False,9,Casa,11.2,Ineficiente
177.75,False,9,Casa,4.9,Eficiente
185.25,False,6,Departamento,1.5,Eficiente
1185.42,True,7,Casa,9.5,Ineficiente
235.92,True,6,Departamento,4.6,Moderado
469.58,False,5,Casa,3.9,Eficiente
621.0,False,7,Casa,6.7,Moderado
756.92,True,10,Casa,8.8,Moderado
214.92,False,5,Departamento,2.0,Eficiente
2636.17,True,14,Casa,16.0,Ineficiente
352.08,False,6,Departamento,1.0,Eficiente
866.67,False,12,Casa,8.4,Moderado
420.75,False,4,Departamento,3.8,Eficiente
1539.25,True,5,Casa,10.5,Ineficiente
355.08,False,7,Casa,6.1,Moderado
485.0,False,7,Departamento,3.9,Eficiente
531.75,False,7,Departamento,5.2,Moderado
689.5,False,5,Departamento,6.2,Moderado
640.25,False,6,Casa,7.5,Moderado
1005.58,False,12,Casa,8.9,Moderado
1144.42,True,5,Casa,10.3,Ineficiente
1189.42,True,9,Casa,10.6,Ineficiente
414.25,False,6,Departamento,3.6,Eficiente
291.33,False,7,Casa,4.5,Eficiente
835.08,False,13,Casa,9.7,Ineficiente
2071.58,True,11,Casa,16.0,Ineficiente
654.75,False,8,Casa,6.8,Moderado
156.42,False,4,Casa,1.9,Eficiente
640.75,False,7,Departamento,6.5,Moderado
1346.42,True,10,Casa,12.6,Ineficiente
1587.5,True,11,Casa,15.5,Ineficiente
1363.08,True,8,Casa,10.2,Ineficiente
423.58,False,6,Casa,6.8,Moderado
369.25,False,5,Casa,2.0,Eficiente
1348.58,True,8,Casa,11.2,Ineficiente
1370.75,False,7,Casa,11.8,Ineficiente
1264.42,False,6,Casa,10.5,Ineficiente
1152.92,True,6,Casa,8.9,Ineficiente
293.17,False,5,Casa,3.2,Eficiente
523.17,False,7,Casa,5.1,Moderado
460.92,False,8,Casa,4.9,Moderado
1870.17,True,4,Casa,14.5,Ineficiente
930.5,True,8,Casa,9.0,Ineficiente
408.67,True,6,Casa,3.8,Moderado
161.92,False,5,Departamento,3.5,Eficiente
1165.08,True,11,Casa,11.4,Ineficiente
465.17,False,7,Departamento,6.0,Moderado
637.0,False,4,Casa,6.1,Moderado
1108.33,True,11,Casa,9.9,Ineficiente
293.17,False,5,Departamento,2.9,Eficiente
1164.58,False,8,Casa,10.9,Ineficiente
599.08,True,8,Casa,7.0,Moderado
626.0,True,4,Casa,5.4,Moderado
564.5,False,7,Casa,6.0,Moderado
600.33,False,10,Casa,8.3,Moderado
623.0,False,7,Departamento,5.7,Moderado
2872.17,True,11,Casa,16.0,Ineficiente
521.67,True,6,Casa,5.1,Moderado
741.17,True,11,Casa,8.0,Moderado
1247.75,True,7,Casa,11.5,Ineficiente
1263.17,True,8,Casa,11.6,Ineficiente
1368.33,True,14,Casa,14.1,Ineficiente
1206.75,True,7,Casa,11.5,Ineficiente
58.42,False,5,Casa,1.9,Eficiente
1104.83,True,4,Casa,9.2,Ineficiente
825.42,False,12,Casa,8.8,Moderado
718.5,True,8,Casa,7.5,Moderado
1338.75,True,4,Casa,10.0,Ineficiente
626.42,True,6,Casa,6.1,Moderado
585.75,True,9,Casa,7.2,Moderado
785.58,False,11,Casa,7.7,Moderado
2173.42,True,12,Casa,16.0,Ineficiente
1122.5,True,8,Departamento,8.9,Ineficiente
338.92,False,5,Departamento,2.5,Eficiente
1632.75,True,15,Casa,16.0,Ineficiente
1672.58,True,8,Casa,14.3,Ineficiente
817.83,False,6,Casa,7.9,Moderado
1469.08,True,7,Casa,12.5,Ineficiente
1208.75,True,7,Departamento,10.1,Ineficiente
564.75,False,7,Casa,5.0,Moderado
157.25,False,3,Departamento,2.0,Eficiente
1297.58,True,7,Casa,10.1,Ineficiente
1880.58,True,7,Casa,15.6,Ineficiente
513.42,False,6,Departamento,5.1,Moderado
2150.92,True,10,Casa,16.0,Ineficiente
1612.0,True,11,Casa,13.7,Ineficiente
269.75,False,9,Casa,4.9,Eficiente
801.75,True,10,Casa,7.8,Ineficiente
252.33,False,7,Departamento,3.0,Eficiente
153.67,True,7,Departamento,3.4,Eficiente
913.75,True,6,Casa,8.1,Ineficiente
479.25,False,7,Departamento,4.8,Moderado
1129.08,False,9,Casa,9.8,Ineficiente
506.25,False,10,Casa,6.6,Moderado
961.5,False,9,Casa,7.7,Moderado
1288.25,True,6,Casa,9.0,Ineficiente
343.08,False,6,Casa,3.4,Eficiente
875.67,False,5,Casa,7.1,Moderado
219.25,False,6,Departamento,3.6,Eficiente
2224.0,True,12,Casa,16.0,Ineficiente
670.33,False,8,Casa,7.7,Moderado
939.25,True,10,Casa,9.1,Ineficiente
583.58,True,8,Casa,6.3,Moderado
1843.42,True,11,Casa,14.6,Ineficiente
1071.83,False,9,Departamento,9.8,Ineficiente
2046.92,True,14,Casa,16.0,Ineficiente
511.58,False,6,Casa,5.5,Moderado
670.5,False,4,Casa,4.8,Moderado
686.17,True,6,Casa,6.9,Moderado
376.83,True,6,Casa,5.8,Moderado
298.25,False,5,Departamento,3.4,Eficiente
1901.83,True,8,Casa,15.5,Ineficiente
1732.58,True,12,Casa,15.8,Ineficiente
411.83,False,7,Casa,4.4,Moderado
1121.08,True,7,Casa,9.8,Ineficiente
2277.33,True,11,Casa,16.0,Ineficiente
4253.58,True,10,Casa,16.0,Ineficiente
1072.58,True,7,Casa,8.5,Ineficiente
780.17,True,9,Casa,7.9,Moderado
684.67,False,5,Departamento,6.6,Moderado
1214.75,True,7,Casa,11.6,Ineficiente
450.17,False,4,Casa,5.2,Moderado
1152.5,True,9,Casa,12.5,Ineficiente
1421.25,True,10,Casa,11.7,Ineficiente
885.5,True,6,Departamento,8.6,Ineficiente
1186.83,True,10,Casa,11.1,Ineficiente
2081.42,True,7,Departamento,16.0,Ineficiente
1598.25,True,8,Casa,12.2,Ineficiente
786.08,True,9,Casa,7.1,Moderado
496.67,True,5,Casa,4.2,Moderado
446.17,False,5,Casa,2.4,Eficiente
414.5,True,6,Casa,4.0,Moderado
350.83,False,7,Casa,3.7,Eficiente
798.42,True,9,Casa,8.2,Moderado
1040.25,True,7,Casa,9.4,Ineficiente
353.92,False,10,Casa,7.2,Moderado
708.67,True,4,Casa,6.9,Moderado
488.0,True,5,Casa,4.2,Moderado
611.42,False,7,Casa,5.3,Moderado
1025.17,False,9,Casa,10.0,Ineficiente
689.33,False,9,Casa,6.0,Moderado
1285.42,True,9,Casa,13.1,Ineficiente
490.33,False,9,Departamento,7.1,Moderado
510.08,False,12,Casa,6.5,Moderado
2073.33,True,11,Casa,15.4,Ineficiente
3461.42,True,8,Casa,16.0,Ineficiente
439.42,False,9,Casa,5.5,Moderado
916.5,True,6,Departamento,9.1,Ineficiente
820.67,True,7,Departamento,6.0,Ineficiente
2282.58,True,10,Casa,16.0,Ineficiente
688.92,False,5,Casa,6.1,Moderado
649.0,False,5,Departamento,5.9,Moderado
2484.75,True,11,Casa,16.0,Ineficiente
396.33,False,6,Casa,5.1,Moderado
770.83,False,5,Departamento,5.6,Moderado
1340.25,True,9,Casa,11.5,Ineficiente
678.92,True,7,Casa,6.7,Moderado
801.92,True,6,Casa,7.7,Ineficiente
581.75,False,8,Casa,7.0,Moderado
1597.0,True,8,Departamento,11.9,Ineficiente
373.75,False,8,Casa,3.4,Eficiente
721.0,True,5,Departamento,7.6,Moderado
358.17,False,6,Casa,4.5,Moderado
580.08,False,7,Casa,5.2,Moderado
572.92,False,8,Departamento,7.8,Moderado
334.5,False,5,Departamento,3.8,Eficiente
568.83,True,7,Departamento,7.1,Moderado
874.17,True,7,Casa,8.0,Ineficiente
658.58,True,6,Departamento,8.3,Moderado
669.5,True,11,Casa,9.5,Ineficiente
1360.58,True,9,Casa,11.5,Ineficiente
323.67,True,5,Casa,4.6,Moderado
1922.5,True,6,Casa,15.3,Ineficiente
227.0,False,6,Departamento,4.7,Eficiente
824.75,False,6,Casa,6.3,Moderado
537.0,False,7,Casa,6.4,Moderado
708.92,False,5,Casa,7.3,Moderado
907.83,True,7,Casa,6.4,Ineficiente
523.75,False,6,Casa,4.1,Moderado
1770.17,True,6,Casa,11.6,Ineficiente
488.42,True,5,Departamento,4.5,Moderado
547.58,False,10,Casa,7.4,Moderado
2154.25,True,8,Casa,16.0,Ineficiente
716.08,False,8,Casa,7.2,Moderado
1415.33,False,5,Casa,12.6,Ineficiente
769.33,False,8,Casa,6.1,Moderado
957.83,True,10,Casa,7.7,Ineficiente
443.58,False,6,Casa,4.7,Moderado
2450.67,True,16,Casa,16.0,Ineficiente
2870.58,True,15,Casa,16.0,Ineficiente
644.83,True,5,Casa,3.7,Moderado
586.58,False,6,Departamento,5.6,Moderado
214.5,False,5,Departamento,1.6,Eficiente
464.58,False,7,Departamento,5.9,Moderado
1177.75,True,6,Casa,10.0,Ineficiente
457.33,False,7,Casa,4.2,Moderado
2084.92,True,10,Casa,16.0,Ineficiente
1818.67,True,8,Casa,13.5,Ineficiente
314.67,False,8,Casa,4.4,Eficiente
656.92,False,6,Casa,7.1,Moderado
609.5,True,7,Casa,5.2,Moderado
704.17,False,5,Casa,6.7,Moderado
1673.17,True,4,Casa,11.8,Ineficiente
2303.67,True,8,Casa,16.0,Ineficiente
182.08,False,6,Casa,2.9,Eficiente
332.75,False,6,Casa,3.0,Eficiente
901.83,True,6,Casa,7.3,Ineficiente
766.58,True,7,Casa,6.0,Moderado
767.5,False,11,Casa,10.4,Moderado
988.67,True,7,Casa,8.7,Ineficiente
1077.17,True,9,Casa,9.2,Ineficiente
590.83,False,7,Casa,6.3,Moderado
537.5,False,9,Casa,6.2,Moderado
1098.42,True,10,Casa,10.1,Ineficiente
687.17,True,9,Casa,7.9,Moderado
1987.33,True,12,Casa,16.0,Ineficiente
755.0,False,6,Departamento,6.3,Moderado
809.0,True,6,Casa,6.6,Ineficiente
344.17,True,7,Casa,4.1,Moderado
896.5,True,14,Casa,7.9,Ineficiente
744.75,False,7,Casa,5.5,Moderado
370.58,False,6,Departamento,5.6,Moderado
1138.83,True,8,Casa,11.6,Ineficiente
1618.92,True,6,Casa,12.3,Ineficiente
916.5,False,14,Casa,10.9,Ineficiente
651.83,False,5,Casa,6.2,Moderado
1641.42,True,13,Casa,16.0,Ineficiente
653.92,True,7,Casa,7.6,Moderado
726.67,True,6,Casa,6.5,Moderado
410.17,False,6,Departamento,3.6,Eficiente
1176.75,False,7,Departamento,8.3,Moderado
746.42,False,10,Casa,8.2,Moderado
512.5,True,11,Casa,6.0,Moderado
357.0,False,6,Departamento,2.8,Eficiente
750.58,True,4,Departamento,5.6,Moderado
98.42,False,4,Departamento,1.0,Eficiente
192.42,False,5,Departamento,4.5,Eficiente
171.42,True,5,Departamento,3.5,Eficiente
969.0,False,9,Casa,9.2,Ineficiente
712.0,True,4,Casa,7.4,Moderado
1642.67,True,9,Casa,13.7,Ineficiente
773.75,True,5,Casa,5.8,Moderado
558.75,False,7,Casa,7.3,Moderado
1001.33,True,13,Casa,11.1,Ineficiente
3090.25,True,10,Casa,16.0,Ineficiente
372.92,False,4,Departamento,3.5,Eficiente
1213.5,False,11,Casa,10.5,Ineficiente
2300.0,True,6,Casa,15.8,Ineficiente
1354.5,True,8,Casa,12.4,Ineficiente
605.42,False,6,Casa,7.7,Moderado
245.25,False,5,Casa,1.7,Eficiente
261.5,False,5,Casa,3.8,Eficiente
300.67,True,6,Departamento,3.2,Eficiente
305.92,False,5,Casa,3.1,Eficiente
770.25,False,9,Casa,7.2,Moderado
399.83,False,8,Casa,4.2,Moderado
1776.83,True,7,Casa,14.0,Ineficiente
1747.25,True,13,Casa,14.7,Ineficiente
267.83,False,6,Departamento,3.9,Eficiente
307.75,False,5,Departamento,3.5,Eficiente
613.83,True,8,Casa,6.3,Moderado
1550.75,True,7,Casa,11.5,Ineficiente
296.0,False,4,Casa,2.6,Eficiente
1067.5,True,8,Casa,10.3,Ineficiente
873.92,False,5,Casa,7.8,Moderado
184.33,False,4,Departamento,1.5,Eficiente
439.08,True,6,Departamento,4.8,Moderado
945.33,True,6,Departamento,8.9,Ineficiente
970.83,True,6,Casa,6.6,Ineficiente
1389.58,False,11,Casa,13.1,Ineficiente
1062.33,True,4,Casa,7.6,Ineficiente
157.58,False,7,Casa,3.7,Eficiente
1215.83,True,7,Casa,9.4,Ineficiente
289.58,True,4,Departamento,1.3,Eficiente
856.67,False,8,Departamento,6.5,Moderado
432.75,False,4,Casa,4.1,Moderado
707.75,False,9,Casa,7.7,Moderado
499.0,False,6,Casa,4.2,Moderado
186.67,False,5,Departamento,3.4,Eficiente
369.0,True,7,Casa,2.9,Moderado
770.0,False,6,Casa,6.9,Moderado
691.5,False,4,Casa,4.6,Moderado
277.08,False,4,Departamento,2.4,Eficiente
1409.08,False,8,Casa,11.8,Ineficiente
1935.0,True,5,Casa,13.5,Ineficiente
777.75,True,7,Departamento,6.9,Moderado
693.58,True,6,Departamento,7.4,Moderado
1521.92,True,10,Casa,12.6,Ineficiente
241.25,True,5,Departamento,3.9,Eficiente
1143.75,True,14,Casa,10.7,Ineficiente
1158.08,True,10,Casa,11.3,Ineficiente
884.75,True,8,Casa,9.7,Ineficiente
963.58,False,6,Casa,5.8,Moderado
287.33,False,4,Departamento,2.3,Eficiente
414.67,False,5,Casa,4.8,Moderado
293.25,False,7,Departamento,3.9,Eficiente
1730.83,True,6,Casa,13.7,Ineficiente
338.25,False,6,Casa,3.5,Eficiente
885.58,True,12,Casa,9.6,Ineficiente
167.58,False,6,Departamento,2.8,Eficiente
657.42,False,7,Casa,7.7,Moderado
1186.0,True,5,Casa,9.7,Ineficiente
231.42,False,5,Casa,3.4,Eficiente
2768.58,True,13,Casa,16.0,Ineficiente
837.75,False,7,Casa,7.2,Moderado
926.92,False,7,Casa,7.8,Moderado
357.58,True,6,Departamento,4.6,Moderado
314.08,True,6,Casa,3.5,Eficiente
749.08,True,7,Departamento,7.4,Moderado
1520.42,True,9,Casa,14.9,Ineficiente
1217.33,True,7,Casa,11.1,Ineficiente
373.17,False,9,Casa,4.9,Moderado
1424.42,True,11,Casa,14.0,Ineficiente
284.0,True,7,Departamento,3.6,Eficiente
474.08,False,7,Departamento,3.2,Eficiente
2009.58,True,6,Casa,14.2,Ineficiente
1518.0,True,6,Casa,10.0,Ineficiente
684.58,True,7,Casa,6.3,Moderado
747.0,False,8,Casa,7.4,Moderado
588.25,False,10,Casa,8.6,Moderado
1491.75,True,10,Casa,13.3,Ineficiente
1408.83,True,10,Casa,12.2,Ineficiente
1430.58,True,8,Casa,12.8,Ineficiente
439.17,False,5,Casa,2.2,Eficiente
976.75,True,5,Casa,8.2,Ineficiente
1188.58,True,8,Casa,11.1,Ineficiente
765.75,False,11,Casa,6.9,Moderado
1416.92,True,11,Casa,13.9,Ineficiente
1276.92,False,9,Casa,11.6,Ineficiente
816.0,False,9,Casa,7.7,Moderado
1096.0,True,9,Casa,10.6,Ineficiente
486.33,False,6,Casa,7.3,Moderado
307.17,True,6,Casa,4.0,Moderado
1345.25,False,7,Casa,11.3,Ineficiente
972.17,True,11,Casa,9.3,Ineficiente
514.42,False,4,Departamento,3.8,Eficiente
394.75,False,8,Casa,5.9,Moderado
954.33,True,6,Casa,7.3,Ineficiente
1070.92,True,8,Casa,9.6,Ineficiente
1979.75,True,9,Casa,15.4,Ineficiente
1130.75,False,6,Casa,9.8,Ineficiente
836.83,True,7,Casa,8.0,Ineficiente
883.83,True,7,Casa,9.0,Ineficiente
1231.58,True,6,Casa,9.5,Ineficiente
452.33,False,6,Departamento,4.5,Moderado
397.42,True,5,Casa,3.2,Moderado
2150.0,True,7,Casa,16.0,Ineficiente
983.5,False,12,Casa,10.5,Ineficiente
620.83,False,8,Casa,7.3,Moderado
374.25,False,10,Departamento,4.6,Moderado
448.33,False,6,Departamento,5.7,Moderado
516.58,True,5,Departamento,6.3,Moderado
1263.92,True,12,Casa,12.4,Ineficiente
1601.5,True,6,Casa,14.4,Ineficiente
435.5,False,5,Departamento,3.6,Eficiente
1330.75,True,6,Casa,9.4,Ineficiente
549.58,False,10,Casa,4.9,Moderado
523.08,False,5,Departamento,6.5,Moderado
655.25,False,9,Casa,7.7,Moderado
391.83,True,5,Departamento,4.1,Moderado
335.67,False,9,Casa,5.2,Eficiente
