tipo_vivienda,metros_cuadrados,habitaciones,baños,antiguedad_vivienda,aislamiento,eficiencia_construccion,paneles_solares,cantidad_personas,trabajo_remoto,horas_en_casa,ingreso_mensual,aires_acondicionados,heladeras,televisores,computadoras,lavadoras,secadoras,cantidad_equipos,calefaccion,tipo_calefaccion,tipo_iluminacion,electrodomesticos_eficientes,factor_estacional,temperatura_media,consumo_kwh,uso_horario_pico,horas_alto_consumo,tarifa_kwh,costo_estimado,categoria
casa,381.4,7,3,24.0,poor,c,0,5,0,8.3,13892.3,3,2,8,5,1,0,23,0,ninguna,incandescente,86.3,primavera,16.8,680.23,1,15,0.19,129.24,moderate
departamento,100.7,7,4,19.0,excellent,b,0,7,1,16.3,1121.45,0,2,6,5,1,0,18,1,eléctrica,led,95.9,otoño,16.8,455.0,1,18,0.191,86.9,efficient
casa,89.7,1,1,48.0,average,b,0,2,0,15.8,2823.35,2,1,2,0,1,1,13,1,gas,mixta,65.0,invierno,6.5,441.13,1,19,0.157,69.26,moderate
pequeño comercio,62.1,1,1,19.0,good,b,0,5,0,13.9,583.91,1,3,4,4,0,0,15,1,eléctrica,led,72.6,otoño,13.5,339.26,1,17,0.201,68.19,efficient
casa,136.8,2,2,10.0,excellent,c,1,2,0,11.4,1932.91,1,1,2,0,1,0,7,1,eléctrica,led,62.9,verano,28.1,2109.3999889798924,1,20,0.193,31.44,efficient
departamento,97.8,4,5,35.0,excellent,e,0,2,0,15.4,633.15,0,1,5,4,1,0,15,1,gas,led,85.4,invierno,7.1,310.4,1,18,0.177,54.94,efficient
casa,145.8,4,4,16.0,good,a,0,7,1,20.7,2733.23,3,1,9,1,1,1,24,1,eléctrica,mixta,65.9,invierno,7.7,1023.36,1,16,0.216,221.05,efficient
casa,103.7,1,1,28.0,poor,b,0,4,0,8.8,526.16,1,2,1,0,1,0,12,1,eléctrica,mixta,87.7,verano,27.6,469.9,1,15,0.184,86.46,moderate
departamento,45.2,1,1,36.0,excellent,d,0,1,0,12.7,644.79,0,1,1,2,1,1,8,1,gas,mixta,57.9,verano,24.9,227.56,1,19,0.198,45.06,moderate
departamento,97.6,3,1,66.0,average,e,0,2,0,10.4,1445.67,0,1,2,1,1,0,11,1,gas,incandescente,41.0,otoño,11.7,377.46,1,23,0.166,62.66,inefficient
departamento,71.0,4,2,24.0,excellent,e,0,3,0,13.6,1062.39,1,1,1,4,1,0,15,0,ninguna,mixta,78.6,otoño,13.7,373.77,1,18,0.169,63.17,moderate
departamento,51.1,2,1,31.0,good,e,0,7,0,10.6,413.0,0,1,7,5,1,0,18,1,gas,incandescente,64.1,otoño,9.7,614.28,1,18,0.203,124.7,moderate
departamento,86.1,5,5,75.0,average,a,0,7,1,22.1,1592.15,0,2,9,7,1,0,23,1,gas,mixta,57.7,primavera,17.0,1174.77,1,20,0.205,240.83,moderate
casa,118.7,5,1,27.0,poor,c,0,3,0,18.9,1159.6,0,2,2,1,1,0,12,1,eléctrica,led,58.9,invierno,9.3,693.2,1,23,0.166,115.07,moderate
pequeño comercio,201.1,4,2,32.0,good,b,0,5,0,12.2,2932.08,3,3,2,10,0,0,21,1,gas,led,84.7,otoño,13.4,462.83,1,20,0.159,73.59,efficient
pequeño comercio,107.7,2,1,19.0,good,a,0,4,0,13.9,1953.02,1,2,5,9,0,0,25,1,eléctrica,mixta,54.2,primavera,19.1,622.3,1,17,0.148,92.1,moderate
departamento,70.3,2,1,36.0,poor,c,0,4,0,13.7,946.12,0,1,3,1,1,0,20,1,gas,led,66.7,invierno,11.3,300.72,1,17,0.159,47.81,moderate
casa,226.3,4,2,49.0,poor,e,0,5,0,9.9,6946.91,1,2,4,4,1,1,21,0,ninguna,mixta,49.9,verano,27.3,691.42,1,18,0.187,129.3,inefficient
pequeño comercio,117.1,1,1,22.0,good,b,0,1,0,18.6,810.36,1,2,1,1,0,0,14,0,ninguna,led,69.6,otoño,12.8,396.06,1,18,0.17,67.33,moderate
casa,150.8,4,2,17.0,good,d,0,4,1,23.0,1727.31,3,2,1,4,1,0,17,1,eléctrica,mixta,74.2,primavera,20.2,753.14,1,20,0.196,147.62,moderate
casa,210.0,3,2,44.0,excellent,e,0,4,1,23.1,9023.66,5,1,5,3,1,0,19,1,gas,mixta,68.9,invierno,3.7,1037.71,1,19,0.197,204.43,moderate
casa,174.7,8,5,15.0,good,c,1,7,0,12.2,946.06,2,1,8,7,1,0,23,1,eléctrica,led,70.8,verano,30.0,268.82,1,19,0.172,46.24,efficient
departamento,69.8,1,1,9.0,excellent,b,0,1,0,13.4,921.2,0,1,1,1,1,0,9,0,ninguna,led,75.2,invierno,3.2,192.13,1,20,0.171,32.85,efficient
pequeño comercio,126.2,5,4,50.0,poor,c,0,7,0,14.7,3067.09,0,3,3,7,0,1,19,1,gas,led,66.7,verano,27.9,720.37,1,19,0.168,121.02,moderate
pequeño comercio,30.0,1,1,10.0,excellent,c,0,1,0,8.4,451.35,0,2,0,1,0,0,5,1,eléctrica,led,77.8,primavera,22.7,69.65,1,18,0.167,11.63,efficient
casa,83.3,2,2,10.0,excellent,b,0,2,0,13.9,799.01,2,1,3,1,1,1,15,0,ninguna,led,69.6,invierno,2.3,335.37,1,18,0.167,56.01,efficient
pequeño comercio,58.7,1,2,12.0,average,c,0,1,0,12.0,710.1,0,2,0,2,0,0,10,1,eléctrica,led,74.9,primavera,21.8,166.35,1,19,0.167,27.78,moderate
casa,920.7906666251148,4,2,61.0,excellent,e,0,6,0,8.0,2068.57,3,1,1,7,1,1,20,1,gas,led,64.2,otoño,14.5,284.41,1,21,0.18,51.19,efficient
casa,193.0,7,1,8.0,good,d,0,5,0,8.8,3123.62,2,1,5,4,1,0,16,1,eléctrica,led,81.6,primavera,23.8,339.2,1,19,0.171,58.0,moderate
departamento,45.9,1,1,35.0,poor,a,0,1,0,11.3,639.35,4,1,0,1,1,0,12,1,gas,mixta,66.1,invierno,11.3,187.83,1,14,0.18,33.81,moderate
departamento,56.1,2,1,38.0,poor,e,0,5,1,18.7,1342.08,3,2,2,7,1,0,19,1,gas,led,77.4,invierno,9.4,413.32,1,16,0.174,71.92,inefficient
casa,107.7,7,5,57.0,average,e,0,2,1,20.2,893.82,2,2,1,3,1,0,13,0,ninguna,led,45.5,primavera,24.0,498.54,1,22,0.191,95.22,inefficient
casa,241.1,4,2,25.0,good,c,0,5,0,13.7,1330.0,3,2,4,4,1,1,17,1,losa radiante,incandescente,90.2,verano,23.5,1028.43,1,19,0.179,184.09,moderate
casa,129.0,7,5,76.0,poor,e,1,6,1,19.6,1318.41,0,1,2,5,1,0,11,1,gas,mixta,35.5,primavera,21.0,611.07,1,17,0.19,116.1,moderate
casa,164.4,5,2,21.0,good,e,0,4,0,9.4,1183.76,1,2,5,2,1,0,20,0,ninguna,incandescente,76.0,otoño,10.7,485.5,1,18,0.149,72.34,moderate
departamento,54.6,2,3,33.0,good,a,0,1,1,24.0,932.5,2,1,0,1,1,0,8,1,gas,mixta,54.5,otoño,10.7,335.32,1,17,0.159,53.32,moderate
departamento,78.7,4,2,23.0,excellent,e,0,4,0,14.9,2850.5,0,1,5,3,1,0,16,1,eléctrica,mixta,72.2,otoño,12.3,647.26,1,22,0.207,133.98,moderate
casa,127.5,2,3,70.0,average,c,0,1,1,21.4,2296.0,0,1,2,1,1,0,10,1,gas,led,47.0,verano,31.4,391.68,1,19,0.199,77.94,moderate
casa,243.6,8,5,13.0,average,e,0,8,0,16.4,1914.71,3,2,10,8,1,0,28,1,eléctrica,incandescente,90.2,otoño,20.5,1489.38,1,16,0.179,266.6,inefficient
casa,123.8,2,2,22.0,poor,d,0,2,0,8.8,3504.85,1,1,2,2,1,1,10,1,eléctrica,mixta,77.0,otoño,12.6,260.26,1,19,0.156,40.6,moderate
casa,107.3,6,1,29.0,good,e,1,5,0,9.8,2129.77,1,2,2,9,1,1,24,1,eléctrica,led,66.1,otoño,13.2,163.7,1,20,0.165,27.01,efficient
pequeño comercio,93.9,4,4,14.0,good,a,0,3,0,13.9,759.2,0,2,1,1,0,0,10,0,ninguna,led,76.3,primavera,18.2,313.39,1,21,0.179,56.1,efficient
departamento,45.8,2,1,34.0,excellent,c,0,1,0,9.6,810.44,0,1,2,0,1,0,6,1,gas,led,71.5,primavera,19.3,103.59,1,20,0.181,18.75,efficient
casa,216.9,7,5,2.0,excellent,e,0,4,0,13.9,3179.47,5,1,2,3,1,1,15,1,eléctrica,led,90.3,otoño,16.5,338.91,1,16,0.15,50.84,efficient
departamento,57.3,2,2,19.0,poor,a,0,2,0,16.2,1096.72,0,1,0,1,1,0,14,1,eléctrica,mixta,75.6,primavera,20.2,343.74,1,20,0.176,60.5,moderate
pequeño comercio,77.5,2,1,19.0,good,d,0,1,0,9.7,3216.61,1,2,0,1,0,0,9,1,eléctrica,led,72.6,verano,25.2,141.91,1,19,0.19,26.96,efficient
casa,134.6,6,5,16.0,poor,c,1,3,0,8.0,2714.47,1,1,1,3,1,1,14,1,eléctrica,led,66.7,invierno,11.3,185.51,1,20,0.128,23.75,moderate
departamento,77.2,4,3,15.0,excellent,c,0,1,1,23.6,1602.54,0,2,3,2,1,0,15,1,eléctrica,mixta,58.5,invierno,4.9,904.58,1,14,0.156,141.11,inefficient
departamento,40.1,1,3,55.0,poor,a,0,3,0,18.8,515.32,0,1,1,3,1,0,10,1,gas,mixta,62.5,primavera,17.2,496.51,1,21,0.159,78.95,moderate
departamento,43.4,1,1,24.0,excellent,e,0,1,1,16.6,815.01,1,1,0,2,1,0,10,1,eléctrica,mixta,66.2,otoño,16.2,262.94,1,17,0.198,52.06,moderate
casa,60.6,2,3,51.0,excellent,c,0,6,0,10.1,1330.0,0,1,8,3,1,0,18,0,ninguna,mixta,64.4,verano,27.8,359.25,1,18,0.177,63.59,efficient
casa,97.9,6,2,39.0,poor,d,0,3,0,8.7,1569.49,1,2,5,0,1,0,13,0,ninguna,led,66.7,invierno,11.2,248.93,1,18,0.199,49.54,inefficient
departamento,79.9,1,1,52.0,good,e,0,1,1,19.5,1330.0,0,1,2,3,1,0,12,0,ninguna,incandescente,63.7,invierno,8.5,699.47,1,21,0.189,132.2,inefficient
casa,127.8,4,1,50.0,good,e,0,3,1,20.5,627.09,1,2,1,3,1,0,9,0,ninguna,led,68.6,verano,34.1,516.99,1,19,0.149,77.03,moderate
casa,93.4,4,1,36.0,poor,b,0,6,1,15.3,1931.69,1,2,5,7,1,1,21,1,gas,incandescente,78.4,invierno,7.7,987.05,1,19,0.156,153.98,moderate
casa,121.5,3,1,17.0,excellent,a,0,1,0,11.6,2150.79,1,1,1,0,1,0,7,0,ninguna,mixta,61.0,primavera,23.5,191.72,1,22,0.188,36.04,efficient
departamento,54.6,1,1,28.0,good,a,0,1,0,8.0,614.26,1,1,1,2,1,0,10,0,ninguna,mixta,76.3,verano,26.6,225.98,1,19,0.173,39.09,efficient
departamento,58.3,3,2,27.0,poor,a,0,5,0,12.6,702.36,1,2,3,6,1,0,18,1,eléctrica,mixta,73.8,otoño,17.8,434.4,1,21,0.184,79.93,moderate
departamento,72.2,4,1,30.0,poor,c,0,2,1,21.4,2081.59,0,1,5,2,1,0,11,1,eléctrica,incandescente,50.2,invierno,10.3,824.81,1,19,0.192,158.36,inefficient
casa,121.8,4,2,47.0,poor,a,0,4,0,11.5,1390.82,0,1,6,3,1,0,18,0,ninguna,mixta,30.2,otoño,17.3,559.33,1,18,0.182,101.8,moderate
pequeño comercio,65.5,1,1,15.0,good,e,0,1,0,18.0,1341.77,1,2,0,2,0,0,13,1,eléctrica,incandescente,78.1,primavera,23.6,529.18,1,20,0.193,102.13,inefficient
departamento,41.3,1,2,30.0,good,c,0,1,0,20.0,1393.2,1,1,1,0,1,0,11,1,eléctrica,led,54.2,otoño,16.2,240.71,1,17,0.193,46.46,moderate
casa,158.4,5,1,41.0,poor,e,0,6,0,12.0,1650.66,1,2,11,2,1,0,23,1,gas,incandescente,58.5,verano,30.1,1047.93,1,21,0.172,180.24,inefficient
casa,137.2,1,1,7.0,good,b,1,1,1,18.5,1893.68,3,1,0,2,1,0,11,1,eléctrica,led,81.2,otoño,14.7,246.02,1,15,0.155,38.13,efficient
pequeño comercio,107.3,4,1,11.0,good,a,0,8,0,9.6,1289.82,1,2,4,2,0,0,15,0,ninguna,mixta,83.1,primavera,20.2,404.97,1,16,0.166,67.23,efficient
casa,198.1,2,3,5.0,excellent,b,0,1,1,18.3,973.01,4,1,0,3,1,0,15,0,ninguna,led,62.8,verano,27.7,650.55,1,20,0.154,100.18,moderate
casa,136.9,5,4,50.0,average,c,0,4,1,15.7,1189.8,0,1,1,3,1,0,14,0,ninguna,mixta,43.8,verano,27.7,572.58,1,22,0.153,87.6,moderate
departamento,94.4,1,1,12.0,excellent,a,0,1,1,21.9,1037.25,1,1,0,3,1,0,10,1,eléctrica,mixta,74.6,invierno,6.9,575.82,1,20,0.163,93.86,moderate
pequeño comercio,58.8,4,2,30.0,good,e,0,8,0,9.8,587.89,0,2,5,5,0,0,18,1,eléctrica,mixta,65.9,invierno,10.1,504.06,1,20,0.201,101.32,moderate
departamento,84.7,6,3,35.0,good,d,0,5,0,10.2,1117.44,0,1,4,3,1,0,15,0,ninguna,mixta,53.5,verano,26.2,352.06,1,16,0.2,70.41,moderate
casa,55.9,2,1,45.0,poor,a,0,2,1,21.6,2243.32,1,1,0,4,1,0,11,1,gas,led,74.0,otoño,20.6,428.31,1,19,0.179,76.67,moderate
departamento,38.4,1,1,66.0,average,e,0,2,0,16.6,1102.83,0,1,1,1,1,0,7,1,gas,mixta,39.2,primavera,17.6,256.28,1,17,0.201,51.51,inefficient
casa,98.1,1,1,9.0,good,b,0,1,1,17.7,1290.31,1,1,0,3,1,0,10,1,eléctrica,mixta,95.9,primavera,29.9,314.75,1,18,0.164,51.62,moderate
casa,104.5,4,4,16.0,good,a,0,8,1,19.9,1316.89,2,1,4,6,1,0,18,1,eléctrica,mixta,73.3,otoño,12.7,939.19,1,17,0.166,155.91,efficient
casa,205.6,8,4,63.0,poor,e,0,7,0,13.6,2728.89,4,2,8,4,1,0,29,1,gas,led,49.5,invierno,4.4,670.09,1,20,0.119,79.74,inefficient
departamento,83.9,2,1,18.0,excellent,e,0,2,0,13.5,985.09,0,2,2,0,1,0,9,1,eléctrica,led,73.3,otoño,18.1,266.35,1,19,0.168,44.75,efficient
casa,126.4,2,1,13.0,average,b,0,2,1,19.0,3435.73,2,1,1,4,1,0,17,1,eléctrica,mixta,77.3,verano,27.8,1235.75,1,19,0.181,223.67,inefficient
casa,113.9,4,4,26.0,good,e,1,1,1,20.2,1963.73,1,1,1,1,1,0,13,1,eléctrica,mixta,67.0,verano,27.4,519.57,1,21,0.202,104.95,moderate
casa,170.7,6,2,41.0,good,c,0,8,0,15.2,1979.81,4,1,7,4,1,0,22,1,gas,led,46.5,primavera,18.5,748.66,1,15,0.178,133.26,efficient
casa,118.5,2,1,35.0,good,e,0,3,0,18.2,1511.54,1,2,2,2,1,0,17,0,ninguna,mixta,63.7,verano,25.1,577.93,1,19,0.2,115.59,moderate
casa,155.8,3,1,46.0,poor,a,0,1,0,13.6,1330.0,0,2,1,0,1,0,10,1,gas,mixta,57.3,primavera,20.9,312.19,1,20,0.161,50.26,inefficient
departamento,86.6,1,1,40.0,poor,c,0,1,0,13.4,3679.58,3,1,0,3,1,1,11,1,gas,mixta,73.8,invierno,11.3,307.41,1,16,0.162,49.8,inefficient
casa,138.0,7,5,25.0,excellent,d,0,5,1,20.7,2001.61,0,1,2,2,1,1,12,1,eléctrica,incandescente,69.6,invierno,9.6,1631.56,1,21,0.162,264.31,moderate
departamento,92.1,5,2,14.0,average,a,0,7,0,11.2,1174.21,0,2,6,5,1,0,19,1,eléctrica,mixta,66.7,verano,31.0,478.13,1,16,0.182,87.02,efficient
departamento,80.9,1,1,37.0,average,c,0,1,1,19.1,2065.87,0,1,0,2,1,0,10,1,gas,led,63.4,otoño,15.4,177.13,1,19,0.193,34.19,moderate
pequeño comercio,103.6,1,1,63.0,average,e,0,1,0,8.5,1613.77,0,2,0,0,0,0,7,1,gas,incandescente,54.0,invierno,7.1,221.31,1,17,0.169,37.4,inefficient
casa,112.6,1,1,41.0,poor,e,0,2,1,19.0,714.8,0,1,1,2,1,0,9,1,gas,mixta,60.4,otoño,13.0,494.64,1,19,0.201,99.42,inefficient
casa,85.1,4,1,36.0,poor,d,0,2,0,11.5,2474.91,1,1,2,1,1,0,12,1,gas,mixta,70.7,otoño,17.9,310.41,1,19,0.185,57.43,moderate
casa,91.7,2,3,42.0,poor,a,0,1,0,12.6,940.8,0,1,0,1,1,0,8,1,gas,led,53.2,primavera,22.9,197.33,1,15,0.195,38.48,moderate
casa,96.5,5,4,30.0,good,b,0,6,1,17.4,1021.1,0,1,2,3,1,0,10,1,eléctrica,mixta,48.3,primavera,14.6,787.32,1,19,0.149,117.31,efficient
departamento,134.6,2,1,32.0,average,c,0,1,0,8.7,5123.52,2,1,1,0,1,1,13,1,gas,mixta,73.2,primavera,24.7,208.78,1,21,0.156,32.57,moderate
casa,160.5,3,1,29.0,good,d,0,3,0,12.5,1266.65,0,1,1,1,1,0,12,1,eléctrica,mixta,61.8,verano,32.7,403.8,1,20,0.161,65.01,moderate
casa,118.9,1,1,25.0,excellent,b,0,1,1,21.5,1931.61,2,1,1,1,1,1,8,1,eléctrica,mixta,74.6,otoño,15.5,491.87,1,16,0.197,96.9,moderate
casa,59.5,1,1,15.0,poor,a,1,1,0,15.0,608.45,1,2,1,1,1,0,12,1,eléctrica,led,77.3,verano,28.8,232.26,1,20,0.189,43.9,efficient
departamento,834.6187563369568,1,1,29.0,good,c,0,1,0,12.6,1488.34,1,1,0,1,1,0,8,1,eléctrica,led,50.3,verano,26.6,289.7,1,18,0.168,48.67,moderate
departamento,73.2,2,2,41.0,poor,a,0,1,0,13.9,1557.35,0,1,1,0,1,0,7,0,ninguna,mixta,56.1,primavera,21.1,106.07,1,20,0.18,19.09,moderate
casa,142.7,2,1,26.0,poor,a,0,1,1,17.8,1214.69,0,2,3,1,1,0,10,0,ninguna,mixta,51.6,primavera,23.9,483.6,1,20,0.151,73.02,inefficient
casa,130.0,2,1,37.0,average,b,0,1,1,20.6,5337.8,3,1,0,2,1,1,14,1,gas,led,64.7,verano,27.4,769.81,1,18,0.174,133.95,inefficient
casa,169.5,7,2,57.0,average,e,0,7,1,18.7,2729.52,0,2,3,5,1,0,18,0,ninguna,incandescente,45.1,invierno,8.7,1160.02,1,18,0.171,198.36,moderate
departamento,67.1,4,2,20.0,excellent,e,0,4,0,13.1,979.36,2,1,2,3,1,0,14,0,ninguna,incandescente,62.6,verano,27.4,662.77,1,16,0.142,94.11,moderate
casa,82.1,2,2,47.0,poor,c,0,3,0,15.4,1657.07,0,2,2,5,1,0,14,1,gas,incandescente,67.3,primavera,22.7,657.49,1,18,0.186,122.29,inefficient
departamento,49.2,1,1,21.0,good,e,0,1,1,19.6,1292.92,0,1,1,3,1,0,16,1,eléctrica,mixta,78.7,primavera,22.3,528.56,1,21,0.174,91.97,inefficient
casa,186.7,8,3,33.0,average,e,0,5,0,12.5,1751.85,2,1,8,4,1,0,20,1,gas,mixta,73.4,invierno,6.6,665.21,1,20,0.183,121.73,moderate
casa,86.8,2,1,20.0,poor,c,0,2,1,14.9,238.56,0,1,2,6,1,0,15,1,eléctrica,mixta,61.6,primavera,21.4,2013.9549570887584,1,21,0.148,67.01,inefficient
departamento,135.0,1,3,47.0,excellent,d,0,1,0,9.0,2681.36,0,1,3,0,1,0,11,1,gas,led,74.6,otoño,16.5,159.65,1,17,0.155,24.75,efficient
casa,127.1,7,4,38.0,poor,e,0,4,1,23.0,1746.98,1,2,5,5,1,0,20,0,ninguna,mixta,65.1,otoño,18.0,1027.09,1,16,0.17,174.61,inefficient
departamento,54.5,1,1,52.0,poor,b,0,1,1,24.0,508.46,0,1,2,2,1,0,12,1,gas,mixta,54.9,invierno,6.5,560.28,1,19,0.193,108.13,inefficient
casa,106.5,4,1,8.0,excellent,a,0,6,0,10.6,921.01,1,2,5,5,1,0,19,1,eléctrica,mixta,82.5,otoño,13.6,545.83,1,17,0.219,119.54,efficient
departamento,41.4,1,1,28.0,poor,c,0,1,1,24.0,989.96,2,1,0,3,1,0,12,0,ninguna,led,72.3,invierno,7.1,299.0,1,16,0.209,62.49,inefficient
casa,112.3,3,1,39.0,poor,e,0,3,0,8.1,2108.08,1,1,1,2,1,0,12,1,gas,led,43.2,invierno,9.6,248.27,1,18,0.16,39.72,moderate
departamento,56.7,1,1,28.0,good,a,0,1,0,16.0,692.56,1,1,1,2,1,0,11,1,eléctrica,led,80.7,invierno,6.4,452.27,1,19,0.186,84.12,moderate
casa,105.3,1,2,13.0,average,c,0,3,0,10.2,1550.26,0,1,2,0,1,1,11,1,eléctrica,mixta,66.7,primavera,22.2,238.83,1,17,0.187,44.66,moderate
departamento,65.0,1,2,18.0,poor,e,0,1,0,14.1,719.34,0,1,0,0,1,0,10,1,eléctrica,mixta,61.8,verano,33.8,232.14,1,16,0.159,36.91,inefficient
casa,91.9,6,5,22.0,good,b,0,5,1,14.9,1343.43,1,2,2,8,1,1,20,0,ninguna,led,69.9,invierno,12.5,554.25,1,18,0.188,104.2,efficient
casa,205.5,8,4,31.0,good,c,0,8,0,9.1,1771.59,3,1,8,6,1,0,29,1,gas,incandescente,72.0,verano,28.7,734.11,1,16,0.174,127.74,moderate
departamento,33.0,1,3,30.0,excellent,c,0,1,0,8.0,345.92,0,2,0,0,1,0,8,0,ninguna,led,59.2,primavera,26.3,69.39,1,13,0.175,12.14,efficient
casa,99.7,3,2,20.0,poor,b,0,1,0,19.0,3364.36,3,2,0,0,1,0,9,1,eléctrica,mixta,87.1,otoño,15.5,288.03,1,15,0.202,58.18,moderate
departamento,93.1,4,2,34.0,excellent,e,0,1,0,12.5,578.24,0,1,0,1,1,0,7,1,gas,incandescente,82.3,otoño,14.9,239.64,1,18,0.201,48.17,moderate
casa,128.4,2,1,27.0,good,b,0,5,1,17.2,535.57,1,1,5,11,1,0,21,0,ninguna,incandescente,57.2,primavera,23.6,990.42,1,18,0.195,193.13,moderate
